Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-0.499,-5.385,0,255,255,255
250,-0.4989,-5.3834,0.0129,255,255,255
500,-0.4983,-5.3774,0.0619,255,255,255
750,-0.4974,-5.3671,0.1466,255,255,255
1000,-0.496,-5.3524,0.2663,255,255,255
1250,-0.4943,-5.3336,0.4199,255,255,255
1500,-0.4922,-5.3108,0.6067,255,255,255
1750,-0.4898,-5.284,0.8257,255,255,255
2000,-0.487,-5.2533,1.076,255,255,255
2250,-0.4838,-5.219,1.3567,255,255,255
2500,-0.4804,-5.181,1.667,255,255,255
2750,-0.4766,-5.1396,2.0059,255,255,255
3000,-0.4725,-5.0947,2.3726,255,255,255
3250,-0.468,-5.0465,2.7662,255,255,255
3500,-0.4633,-4.9952,3.1858,255,255,255
3750,-0.4583,-4.9408,3.6304,255,255,255
4000,-0.453,-4.8834,4.0993,255,255,255
4250,-0.4475,-4.8232,4.5915,255,255,255
4500,-0.4417,-4.7602,5.1061,255,255,255
4750,-0.4356,-4.6946,5.6422,255,255,255
5000,-0.4293,-4.6264,6.199,255,255,255
5250,-0.4228,-4.5559,6.7756,255,255,255
5500,-0.416,-4.483,7.371,255,255,255
5750,-0.4091,-4.4079,7.9844,255,255,255
6000,-0.4019,-4.3308,8.6149,255,255,255
6250,-0.3945,-4.2516,9.2615,255,255,255
6500,-0.387,-4.1706,9.9235,255,255,255
6750,-0.3792,-4.0878,10.5999,255,255,255
7000,-0.3713,-4.0033,11.2898,255,255,255
7250,-0.3633,-3.9173,11.9924,255,255,255
7500,-0.3551,-3.8299,12.7067,255,255,255
7750,-0.3468,-3.7412,13.4318,255,255,255
8000,-0.3385,-3.6512,14.1668,255,255,255
8250,-0.33,-3.5601,14.9109,255,255,255
8500,-0.3214,-3.468,15.6632,255,255,255
8750,-0.3127,-3.375,16.4227,255,255,255
9000,-0.304,-3.2813,17.1886,255,255,255
9250,-0.2953,-3.1869,17.96,255,255,255
9500,-0.2864,-3.0919,18.736,255,255,255
9750,-0.2776,-2.9964,19.5157,255,255,255
10000,-0.2687,-2.9006,20.2982,255,255,255
10250,-0.2598,-2.8046,21.0827,255,255,255
10500,-0.2509,-2.7085,21.8682,255,255,255
10750,-0.242,-2.6123,22.6538,255,255,255
11000,-0.2331,-2.5162,23.4387,255,255,255
11250,-0.2242,-2.4203,24.222,255,255,255
11500,-0.2153,-2.3248,25.0027,255,255,255
11750,-0.2065,-2.2296,25.78,255,255,255
12000,-0.1978,-2.135,26.553,255,255,255
12250,-0.1891,-2.041,27.3208,255,255,255
12500,-0.1805,-1.9478,28.0825,255,255,255
12750,-0.1719,-1.8554,28.8372,255,255,255
13000,-0.1635,-1.764,29.5841,255,255,255
13250,-0.1551,-1.6736,30.3222,255,255,255
13500,-0.1469,-1.5844,31.0507,255,255,255
13750,-0.1388,-1.4966,31.7686,255,255,255
14000,-0.1308,-1.4101,32.475,255,255,255
14250,-0.123,-1.3251,33.1692,255,255,255
14500,-0.1153,-1.2418,33.8501,255,255,255
14750,-0.1077,-1.1601,34.517,255,255,255
15000,-0.1003,-1.0803,35.1688,255,255,255
15250,-0.0931,-1.0025,35.8048,255,255,255
15500,-0.0861,-0.9267,36.424,255,255,255
15750,-0.0793,-0.8531,37.0255,255,255,255
16000,-0.0727,-0.7817,37.6084,255,255,255
16250,-0.0664,-0.7128,38.1719,255,255,255
16500,-0.0602,-0.6463,38.7151,255,255,255
16750,-0.0543,-0.5824,39.237,255,255,255
17000,-0.0486,-0.5212,39.7369,255,255,255
17250,-0.0432,-0.4629,40.2137,255,255,255
17500,-0.0381,-0.4074,40.6666,255,255,255
17750,-0.0332,-0.3551,41.0947,255,255,255
18000,-0.0287,-0.3058,41.4972,255,255,255
18250,-0.0244,-0.2598,41.873,255,255,255
