Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-1.388,3.053,0,255,255,255
250,-1.3884,3.0521,0.0048,255,255,255
500,-1.3901,3.0487,0.0229,255,255,255
750,-1.3931,3.0428,0.0543,255,255,255
1000,-1.3972,3.0345,0.0987,255,255,255
1250,-1.4025,3.0239,0.1556,255,255,255
1500,-1.409,3.0109,0.2248,255,255,255
1750,-1.4165,2.9958,0.306,255,255,255
2000,-1.4252,2.9784,0.3987,255,255,255
2250,-1.4349,2.959,0.5027,255,255,255
2500,-1.4456,2.9375,0.6177,255,255,255
2750,-1.4573,2.914,0.7433,255,255,255
3000,-1.47,2.8885,0.8792,255,255,255
3250,-1.4835,2.8613,1.025,255,255,255
3500,-1.498,2.8322,1.1805,255,255,255
3750,-1.5134,2.8014,1.3453,255,255,255
4000,-1.5296,2.7689,1.519,255,255,255
4250,-1.5466,2.7347,1.7014,255,255,255
4500,-1.5644,2.6991,1.8921,255,255,255
4750,-1.5829,2.6619,2.0907,255,255,255
5000,-1.6021,2.6233,2.297,255,255,255
5250,-1.6221,2.5833,2.5106,255,255,255
5500,-1.6426,2.542,2.7312,255,255,255
5750,-1.6638,2.4995,2.9585,255,255,255
6000,-1.6856,2.4558,3.1921,255,255,255
6250,-1.708,2.411,3.4317,255,255,255
6500,-1.7309,2.3651,3.677,255,255,255
6750,-1.7542,2.3182,3.9276,255,255,255
7000,-1.7781,2.2704,4.1832,255,255,255
7250,-1.8024,2.2217,4.4435,255,255,255
7500,-1.8271,2.1721,4.7081,255,255,255
7750,-1.8521,2.1219,4.9768,255,255,255
8000,-1.8775,2.0709,5.2491,255,255,255
8250,-1.9033,2.0193,5.5248,255,255,255
8500,-1.9293,1.9671,5.8036,255,255,255
8750,-1.9555,1.9144,6.085,255,255,255
9000,-1.982,1.8613,6.3688,255,255,255
9250,-2.0087,1.8078,6.6546,255,255,255
9500,-2.0356,1.754,6.9422,255,255,255
9750,-2.0625,1.6999,7.2311,255,255,255
10000,-2.0896,1.6456,7.5211,255,255,255
10250,-2.1168,1.5912,7.8118,255,255,255
10500,-2.1439,1.5367,8.1029,255,255,255
10750,-2.1711,1.4822,8.394,255,255,255
11000,-2.1983,1.4277,8.6849,255,255,255
11250,-2.2254,1.3733,8.9752,255,255,255
11500,-2.2525,1.3192,9.2645,255,255,255
11750,-2.2794,1.2652,9.5526,255,255,255
12000,-2.3062,1.2115,9.8391,255,255,255
12250,-2.3328,1.1582,10.1236,255,255,255
12500,-2.3592,1.1054,10.406,255,255,255
12750,-2.3853,1.053,10.6857,255,255,255
13000,-2.4112,1.0011,10.9625,255,255,255
13250,-2.4368,0.9498,11.2361,255,255,255
13500,-2.4621,0.8992,11.5061,255,255,255
13750,-2.487,0.8494,11.7722,255,255,255
14000,-2.5115,0.8003,12.0341,255,255,255
14250,-2.5356,0.752,12.2915,255,255,255
14500,-2.5592,0.7047,12.5439,255,255,255
14750,-2.5824,0.6584,12.7911,255,255,255
15000,-2.605,0.613,13.0328,255,255,255
15250,-2.6271,0.5688,13.2686,255,255,255
15500,-2.6486,0.5258,13.4982,255,255,255
15750,-2.6695,0.4839,13.7212,255,255,255
16000,-2.6898,0.4434,13.9373,255,255,255
16250,-2.7094,0.4042,14.1462,255,255,255
