Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-2.387,-7.717,0,255,255,255
250,-2.388,-7.7148,0.0125,255,255,255
500,-2.3916,-7.7062,0.0602,255,255,255
750,-2.398,-7.6914,0.1427,255,255,255
1000,-2.407,-7.6704,0.2591,255,255,255
1250,-2.4186,-7.6436,0.4086,255,255,255
1500,-2.4326,-7.6109,0.5903,255,255,255
1750,-2.449,-7.5726,0.8034,255,255,255
2000,-2.4678,-7.5288,1.0469,255,255,255
2250,-2.4889,-7.4796,1.32,255,255,255
2500,-2.5123,-7.4253,1.6219,255,255,255
2750,-2.5377,-7.366,1.9516,255,255,255
3000,-2.5653,-7.3017,2.3083,255,255,255
3250,-2.5948,-7.2328,2.6912,255,255,255
3500,-2.6264,-7.1593,3.0993,255,255,255
3750,-2.6598,-7.0814,3.5318,255,255,255
4000,-2.695,-6.9992,3.9879,255,255,255
4250,-2.732,-6.9129,4.4666,255,255,255
4500,-2.7706,-6.8227,4.9671,255,255,255
4750,-2.8109,-6.7287,5.4885,255,255,255
5000,-2.8528,-6.631,6.03,255,255,255
5250,-2.8961,-6.5298,6.5907,255,255,255
5500,-2.9408,-6.4253,7.1697,255,255,255
5750,-2.9869,-6.3177,7.7662,255,255,255
6000,-3.0342,-6.207,8.3792,255,255,255
6250,-3.0828,-6.0934,9.008,255,255,255
6500,-3.1326,-5.9771,9.6516,255,255,255
6750,-3.1834,-5.8582,10.3092,255,255,255
7000,-3.2352,-5.737,10.9799,255,255,255
7250,-3.288,-5.6135,11.663,255,255,255
7500,-3.3416,-5.488,12.3574,255,255,255
7750,-3.3961,-5.3607,13.0624,255,255,255
8000,-3.4513,-5.2316,13.7771,255,255,255
8250,-3.5073,-5.101,14.5006,255,255,255
8500,-3.5638,-4.9689,15.232,255,255,255
8750,-3.6209,-4.8356,15.9705,255,255,255
9000,-3.6784,-4.7012,16.7153,255,255,255
9250,-3.7364,-4.5658,17.4654,255,255,255
9500,-3.7947,-4.4297,18.2199,255,255,255
9750,-3.8533,-4.2929,18.9781,255,255,255
10000,-3.9122,-4.1557,19.7391,255,255,255
10250,-3.9711,-4.0181,20.5019,255,255,255
10500,-4.0302,-3.8803,21.2658,255,255,255
10750,-4.0892,-3.7426,22.0298,255,255,255
11000,-4.1483,-3.6049,22.7931,255,255,255
11250,-4.2071,-3.4676,23.5548,255,255,255
11500,-4.2658,-3.3307,24.314,255,255,255
11750,-4.3243,-3.1945,25.07,255,255,255
12000,-4.3824,-3.059,25.8217,255,255,255
12250,-4.4401,-2.9244,26.5685,255,255,255
12500,-4.4974,-2.7909,27.3093,255,255,255
12750,-4.5542,-2.6586,28.0433,255,255,255
13000,-4.6103,-2.5277,28.7696,255,255,255
13250,-4.6658,-2.3984,29.4875,255,255,255
13500,-4.7206,-2.2707,30.196,255,255,255
13750,-4.7746,-2.1449,30.8942,255,255,255
14000,-4.8277,-2.0211,31.5813,255,255,255
14250,-4.8799,-1.8994,32.2564,255,255,255
14500,-4.9311,-1.7801,32.9187,255,255,255
14750,-4.9813,-1.6633,33.5673,255,255,255
15000,-5.0303,-1.549,34.2012,255,255,255
15250,-5.0781,-1.4376,34.8198,255,255,255
15500,-5.1247,-1.3291,35.422,255,255,255
15750,-5.1699,-1.2237,36.007,255,255,255
16000,-5.2138,-1.1215,36.574,255,255,255
16250,-5.2562,-1.0228,37.1221,255,255,255
16500,-5.297,-0.9276,37.6504,255,255,255
16750,-5.3363,-0.8361,38.158,255,255,255
17000,-5.3739,-0.7485,38.6442,255,255,255
17250,-5.4097,-0.6649,39.1079,255,255,255
17500,-5.4438,-0.5855,39.5484,255,255,255
17750,-5.476,-0.5104,39.9648,255,255,255
18000,-5.5063,-0.4398,40.3562,255,255,255
18250,-5.5346,-0.3739,40.7217,255,255,255
18500,-5.5608,-0.3128,41.0606,255,255,255
18750,-5.5848,-0.2566,41.3718,255,255,255
19000,-5.6067,-0.2055,41.6547,255,255,255
19250,-5.6263,-0.1598,41.9082,255,255,255
19500,-5.6436,-0.1194,42.1315,255,255,255
19750,-5.6585,-0.0846,42.3237,255,255,255
20000,-5.6709,-0.0556,42.4841,255,255,255
20250,-5.6808,-0.0324,42.6117,255,255,255
20500,-5.688,-0.0153,42.7056,255,255,255
20750,-5.6933,-0.0043,42.7692,255,255,255
21000,-5.698,0.0001,42.8119,255,255,255
21250,-5.7031,-0.0026,42.8374,255,255,255
21500,-5.7092,-0.0128,42.8493,255,255,255
21750,-5.7172,-0.031,42.8513,255,255,255
22000,-5.7277,-0.0578,42.8469,255,255,255
22250,-5.7416,-0.0937,42.8397,255,255,255
22500,-5.7595,-0.1391,42.8335,255,255,255
22750,-5.7823,-0.1947,42.8317,255,255,255
23000,-5.8106,-0.2608,42.8379,255,255,255
23250,-5.8445,-0.3374,42.8518,255,255,255
23500,-5.8827,-0.4235,42.8676,255,255,255
23750,-5.925,-0.5189,42.885,255,255,255
24000,-5.9713,-0.6235,42.9039,255,255,255
24250,-6.0217,-0.7371,42.9243,255,255,255
24500,-6.0759,-0.8597,42.946,255,255,255
24750,-6.134,-0.9911,42.9691,255,255,255
25000,-6.1958,-1.1311,42.9933,255,255,255
25250,-6.2612,-1.2797,43.0187,255,255,255
25500,-6.3301,-1.4368,43.0452,255,255,255
25750,-6.4026,-1.6021,43.0726,255,255,255
26000,-6.4784,-1.7756,43.1009,255,255,255
26250,-6.5575,-1.9571,43.1301,255,255,255
26500,-6.6399,-2.1466,43.16,255,255,255
26750,-6.7253,-2.3439,43.1906,255,255,255
27000,-6.8138,-2.5488,43.2217,255,255,255
27250,-6.9052,-2.7613,43.2532,255,255,255
27500,-6.9992,-2.9812,43.2848,255,255,255
27750,-7.0957,-3.2084,43.3163,255,255,255
28000,-7.1948,-3.4428,43.3478,255,255,255
28250,-7.2964,-3.6842,43.3791,255,255,255
28500,-7.4005,-3.9325,43.4102,255,255,255
28750,-7.507,-4.1877,43.441,255,255,255
29000,-7.6159,-4.4494,43.4715,255,255,255
29250,-7.7272,-4.7177,43.5016,255,255,255
29500,-7.8408,-4.9924,43.5312,255,255,255
29750,-7.9567,-5.2734,43.5603,255,255,255
30000,-8.0749,-5.5606,43.5888,255,255,255
30250,-8.1954,-5.8537,43.6167,255,255,255
30500,-8.318,-6.1528,43.6438,255,255,255
30750,-8.4428,-6.4576,43.6702,255,255,255
31000,-8.5698,-6.7681,43.6957,255,255,255
31250,-8.6989,-7.0841,43.7204,255,255,255
31500,-8.8301,-7.4054,43.744,255,255,255
31750,-8.9633,-7.7321,43.7666,255,255,255
32000,-9.0985,-8.0638,43.7882,255,255,255
32250,-9.2357,-8.4006,43.8085,255,255,255
32500,-9.3748,-8.7422,43.8277,255,255,255
32750,-9.5159,-9.0886,43.8456,255,255,255
33000,-9.6588,-9.4397,43.8621,255,255,255
33250,-9.8036,-9.7952,43.8772,255,255,255
33500,-9.9502,-10.1551,43.8909,255,255,255
33750,-10.0986,-10.5192,43.903,255,255,255
34000,-10.2487,-10.8875,43.9135,255,255,255
34250,-10.4005,-11.2597,43.9224,255,255,255
34500,-10.5541,-11.6358,43.9295,255,255,255
34750,-10.7092,-12.0156,43.9349,255,255,255
35000,-10.866,-12.3991,43.9384,255,255,255
35250,-11.0244,-12.786,43.94,255,255,255
35500,-11.1843,-13.1763,43.9396,255,255,255
35750,-11.3457,-13.5698,43.9372,255,255,255
36000,-11.5087,-13.9664,43.9326,255,255,255
36250,-11.673,-14.3659,43.926,255,255,255
36500,-11.8388,-14.7683,43.9171,255,255,255
36750,-12.006,-15.1735,43.9059,255,255,255
37000,-12.1745,-15.5812,43.8923,255,255,255
37250,-12.3444,-15.9914,43.8763,255,255,255
37500,-12.5155,-16.4039,43.8579,255,255,255
37750,-12.6879,-16.8186,43.8369,255,255,255
38000,-12.8615,-17.2354,43.8133,255,255,255
38250,-13.0363,-17.6542,43.787,255,255,255
38500,-13.2123,-18.0748,43.7581,255,255,255
38750,-13.3894,-18.497,43.7263,255,255,255
39000,-13.5675,-18.9209,43.6916,255,255,255
39250,-13.7467,-19.3462,43.6541,255,255,255
39500,-13.927,-19.7728,43.6135,255,255,255
39750,-14.1082,-20.2006,43.57,255,255,255
40000,-14.2904,-20.6295,43.5233,255,255,255
40250,-14.4735,-21.0593,43.4734,255,255,255
40500,-14.6575,-21.4899,43.4203,255,255,255
40750,-14.8424,-21.9212,43.3639,255,255,255
41000,-15.0281,-22.3531,43.3041,255,255,255
41250,-15.2146,-22.7853,43.241,255,255,255
41500,-15.4021,-23.2179,43.1744,255,255,255
41750,-15.5911,-23.6507,43.1048,255,255,255
42000,-15.7816,-24.0836,43.0323,255,255,255
42250,-15.9733,-24.5165,42.9568,255,255,255
42500,-16.1664,-24.9491,42.8786,255,255,255
42750,-16.3607,-25.3815,42.7977,255,255,255
43000,-16.5561,-25.8134,42.7142,255,255,255
43250,-16.7526,-26.2448,42.6281,255,255,255
43500,-16.9501,-26.6755,42.5396,255,255,255
43750,-17.1486,-27.1054,42.4488,255,255,255
44000,-17.3479,-27.5344,42.3557,255,255,255
44250,-17.548,-27.9623,42.2605,255,255,255
