Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,8.494,10.493,0,255,255,255
250,8.4954,10.4899,0.0075,255,255,255
500,8.5008,10.4783,0.036,255,255,255
750,8.51,10.4581,0.0855,255,255,255
1000,8.5231,10.4295,0.1552,255,255,255
1250,8.5399,10.3929,0.2448,255,255,255
1500,8.5603,10.3484,0.3536,255,255,255
1750,8.5842,10.2962,0.4813,255,255,255
2000,8.6116,10.2365,0.6273,255,255,255
2250,8.6423,10.1696,0.791,255,255,255
2500,8.6762,10.0956,0.9719,255,255,255
2750,8.7133,10.0148,1.1696,255,255,255
3000,8.7534,9.9274,1.3836,255,255,255
3250,8.7965,9.8335,1.6132,255,255,255
3500,8.8424,9.7335,1.858,255,255,255
3750,8.8911,9.6274,2.1175,255,255,255
4000,8.9425,9.5156,2.3912,255,255,255
4250,8.9964,9.3982,2.6785,255,255,255
4500,9.0528,9.2755,2.979,255,255,255
4750,9.1115,9.1476,3.292,255,255,255
5000,9.1725,9.0148,3.6172,255,255,255
5250,9.2357,8.8773,3.954,255,255,255
5500,9.301,8.7352,4.3017,255,255,255
5750,9.3682,8.5889,4.6598,255,255,255
6000,9.4373,8.4385,5.028,255,255,255
6250,9.5082,8.2843,5.4055,255,255,255
6500,9.5807,8.1264,5.7919,255,255,255
6750,9.6548,7.9651,6.1867,255,255,255
7000,9.7304,7.8005,6.5894,255,255,255
7250,9.8074,7.633,6.9994,255,255,255
7500,9.8857,7.4626,7.4163,255,255,255
7750,9.9651,7.2897,7.8394,255,255,255
8000,10.0456,7.1144,8.2684,255,255,255
8250,10.1272,6.9369,8.7026,255,255,255
8500,10.2096,6.7575,9.1415,255,255,255
8750,10.2928,6.5764,9.5847,255,255,255
9000,10.3767,6.3937,10.0316,255,255,255
9250,10.4612,6.2097,10.4817,255,255,255
9500,10.5462,6.0246,10.9345,255,255,255
9750,10.6316,5.8387,11.3894,255,255,255
10000,10.7174,5.6521,11.8459,255,255,255
10250,10.8033,5.465,12.3036,255,255,255
10500,10.8894,5.2776,12.7619,255,255,255
10750,10.9754,5.0903,13.2202,255,255,255
11000,11.0614,4.9031,13.6781,255,255,255
11250,11.1472,4.7163,14.135,255,255,255
11500,11.2328,4.5301,14.5905,255,255,255
11750,11.3179,4.3447,15.0439,255,255,255
12000,11.4026,4.1604,15.4949,255,255,255
12250,11.4867,3.9773,15.9427,255,255,255
12500,11.5702,3.7956,16.3871,255,255,255
12750,11.6529,3.6156,16.8273,255,255,255
13000,11.7347,3.4375,17.263,255,255,255
13250,11.8156,3.2615,17.6936,255,255,255
13500,11.8954,3.0878,18.1185,255,255,255
13750,11.9741,2.9166,18.5373,255,255,255
14000,12.0515,2.7481,18.9494,255,255,255
14250,12.1276,2.5826,19.3543,255,255,255
14500,12.2022,2.4202,19.7515,255,255,255
14750,12.2753,2.2612,20.1404,255,255,255
15000,12.3468,2.1057,20.5207,255,255,255
15250,12.4165,1.9541,20.8916,255,255,255
15500,12.4844,1.8064,21.2528,255,255,255
15750,12.5503,1.663,21.6038,255,255,255
16000,12.6143,1.524,21.9439,255,255,255
16250,12.6762,1.3897,22.2728,255,255,255
16500,12.7359,1.2601,22.5898,255,255,255
16750,12.7932,1.1357,22.8944,255,255,255
17000,12.8481,1.0165,23.1862,255,255,255
17250,12.9005,0.9028,23.4646,255,255,255
17500,12.9503,0.7948,23.729,255,255,255
17750,12.9973,0.6927,23.9789,255,255,255
18000,13.0415,0.5968,24.2139,255,255,255
18250,13.0828,0.5071,24.4333,255,255,255
18500,13.121,0.424,24.6367,255,255,255
18750,13.1561,0.3477,24.8235,255,255,255
19000,13.1879,0.2783,24.9932,255,255,255
19250,13.2163,0.2161,25.1453,255,255,255
19500,13.2413,0.1614,25.2793,255,255,255
19750,13.2628,0.1142,25.3945,255,255,255
20000,13.2812,0.0767,25.489,255,255,255
20250,13.2974,0.0508,25.561,255,255,255
20500,13.3102,0.0337,25.6131,255,255,255
20750,13.3188,0.0224,25.6479,255,255,255
21000,13.3221,0.0139,25.6678,255,255,255
21250,13.3192,0.0052,25.6756,255,255,255
21500,13.3089,-0.0066,25.6737,255,255,255
21750,13.2904,-0.0245,25.6648,255,255,255
22000,13.2626,-0.0514,25.6515,255,255,255
22250,13.2248,-0.0891,25.635,255,255,255
22500,13.1768,-0.1368,25.6142,255,255,255
22750,13.1188,-0.1942,25.5891,255,255,255
23000,13.0508,-0.2613,25.5597,255,255,255
23250,12.9731,-0.3379,25.5263,255,255,255
23500,12.8856,-0.4239,25.4887,255,255,255
23750,12.7886,-0.5192,25.4471,255,255,255
24000,12.682,-0.6237,25.4016,255,255,255
24250,12.5661,-0.7373,25.3522,255,255,255
24500,12.4409,-0.8599,25.299,255,255,255
24750,12.3065,-0.9914,25.2421,255,255,255
25000,12.163,-1.1316,25.1815,255,255,255
25250,12.0103,-1.2804,25.1173,255,255,255
25500,11.8483,-1.4376,25.0494,255,255,255
25750,11.677,-1.6031,24.9779,255,255,255
26000,11.4964,-1.7767,24.903,255,255,255
26250,11.3068,-1.9584,24.8247,255,255,255
26500,11.1081,-2.1479,24.7431,255,255,255
26750,10.9006,-2.3452,24.6583,255,255,255
27000,10.6842,-2.5502,24.5705,255,255,255
27250,10.4591,-2.7627,24.4797,255,255,255
27500,10.2255,-2.9825,24.3861,255,255,255
27750,9.9833,-3.2097,24.2897,255,255,255
28000,9.7327,-3.444,24.1906,255,255,255
28250,9.4738,-3.6853,24.089,255,255,255
28500,9.2066,-3.9335,23.9849,255,255,255
28750,8.9314,-4.1884,23.8784,255,255,255
29000,8.6481,-4.45,23.7697,255,255,255
29250,8.357,-4.7181,23.6589,255,255,255
29500,8.058,-4.9926,23.5459,255,255,255
29750,7.7513,-5.2734,23.431,255,255,255
30000,7.437,-5.5603,23.3143,255,255,255
30250,7.1151,-5.8532,23.1957,255,255,255
30500,6.7859,-6.152,23.0756,255,255,255
30750,6.4493,-6.4566,22.9538,255,255,255
31000,6.1055,-6.7668,22.8306,255,255,255
