Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3.276,-0.722,0,255,255,255
250,3.2775,-0.7218,0.0121,255,255,255
500,3.283,-0.721,0.0581,255,255,255
750,3.2926,-0.7196,0.1378,255,255,255
1000,3.3062,-0.7176,0.2502,255,255,255
1250,3.3236,-0.7151,0.3946,255,255,255
1500,3.3447,-0.712,0.57,255,255,255
1750,3.3695,-0.7084,0.7758,255,255,255
2000,3.3978,-0.7043,1.0109,255,255,255
2250,3.4295,-0.6997,1.2747,255,255,255
2500,3.4645,-0.6946,1.5662,255,255,255
2750,3.5028,-0.689,1.8846,255,255,255
3000,3.5441,-0.6829,2.229,255,255,255
3250,3.5885,-0.6765,2.5987,255,255,255
3500,3.6357,-0.6696,2.9928,255,255,255
3750,3.6858,-0.6622,3.4105,255,255,255
4000,3.7385,-0.6545,3.8509,255,255,255
4250,3.7939,-0.6464,4.3131,255,255,255
4500,3.8517,-0.638,4.7965,255,255,255
4750,3.9119,-0.6291,5.3,255,255,255
5000,3.9743,-0.62,5.8229,255,255,255
5250,4.0389,-0.6105,6.3643,255,255,255
5500,4.1056,-0.6007,6.9234,255,255,255
5750,4.1743,-0.5906,7.4993,255,255,255
6000,4.2448,-0.5802,8.0909,255,255,255
6250,4.3172,-0.5695,8.6976,255,255,255
6500,4.3913,-0.5586,9.3183,255,255,255
6750,4.467,-0.5474,9.9524,255,255,255
7000,4.5443,-0.536,10.599,255,255,255
7250,4.6229,-0.5244,11.2572,255,255,255
7500,4.7029,-0.5125,11.9263,255,255,255
7750,4.7841,-0.5005,12.6054,255,255,255
8000,4.8665,-0.4883,13.2937,255,255,255
8250,4.9498,-0.476,13.9903,255,255,255
8500,5.0341,-0.4635,14.6945,255,255,255
8750,5.1192,-0.4509,15.4054,255,255,255
9000,5.205,-0.4382,16.1223,255,255,255
9250,5.2914,-0.4254,16.8442,255,255,255
9500,5.3784,-0.4125,17.5703,255,255,255
9750,5.4658,-0.3995,18.2999,255,255,255
10000,5.5535,-0.3865,19.0321,255,255,255
10250,5.6415,-0.3735,19.766,255,255,255
10500,5.7295,-0.3604,20.501,255,255,255
10750,5.8176,-0.3474,21.236,255,255,255
11000,5.9057,-0.3344,21.9704,255,255,255
11250,5.9935,-0.3214,22.7032,255,255,255
11500,6.0811,-0.3084,23.4338,255,255,255
11750,6.1684,-0.2955,24.1611,255,255,255
12000,6.2551,-0.2827,24.8845,255,255,255
12250,6.3413,-0.2699,25.603,255,255,255
12500,6.4268,-0.2573,26.316,255,255,255
12750,6.5116,-0.2448,27.0225,255,255,255
13000,6.5955,-0.2324,27.7217,255,255,255
13250,6.6784,-0.2202,28.4127,255,255,255
13500,6.7603,-0.2081,29.0949,255,255,255
13750,6.841,-0.1962,29.7673,255,255,255
14000,6.9204,-0.1845,30.4292,255,255,255
14250,6.9985,-0.1731,31.0796,255,255,255
14500,7.0751,-0.1618,31.7179,255,255,255
14750,7.1502,-0.1508,32.343,255,255,255
15000,7.2236,-0.1401,32.9544,255,255,255
15250,7.2952,-0.1296,33.551,255,255,255
15500,7.365,-0.1195,34.1321,255,255,255
15750,7.4328,-0.1096,34.6969,255,255,255
16000,7.4986,-0.1001,35.2445,255,255,255
16250,7.5622,-0.0908,35.7741,255,255,255
16500,7.6235,-0.082,36.2849,255,255,255
16750,7.6825,-0.0735,36.7761,255,255,255
17000,7.7391,-0.0654,37.2468,255,255,255
17250,7.793,-0.0577,37.6962,255,255,255
17500,7.8444,-0.0503,38.1236,255,255,255
17750,7.893,-0.0435,38.528,255,255,255
18000,7.9387,-0.037,38.9086,255,255,255
18250,7.9815,-0.0311,39.2647,255,255,255
18500,8.0212,-0.0256,39.5954,255,255,255
18750,8.0578,-0.0205,39.8999,255,255,255
19000,8.0911,-0.016,40.1773,255,255,255
19250,8.1211,-0.012,40.4268,255,255,255
19500,8.1476,-0.0086,40.6477,255,255,255
19750,8.1706,-0.0057,40.839,255,255,255
20000,8.1899,-0.0033,41,255,255,255
20250,8.2055,-0.0016,41.1298,255,255,255
20500,8.2172,-0.0004,41.2277,255,255,255
20750,8.225,0.0001,41.2927,255,255,255
21000,8.2288,0.0001,41.3241,255,255,255
21250,8.2282,-0.0039,41.3319,255,255,255
21500,8.223,-0.0178,41.336,255,255,255
21750,8.2131,-0.0416,41.3369,255,255,255
22000,8.1985,-0.0752,41.3344,255,255,255
22250,8.1793,-0.1185,41.3287,255,255,255
22500,8.1554,-0.1713,41.3198,255,255,255
22750,8.1269,-0.2336,41.3077,255,255,255
23000,8.0938,-0.3052,41.2924,255,255,255
23250,8.0561,-0.386,41.2738,255,255,255
23500,8.0138,-0.4759,41.2522,255,255,255
23750,7.9669,-0.5748,41.2273,255,255,255
24000,7.9154,-0.6826,41.1994,255,255,255
24250,7.8594,-0.7991,41.1683,255,255,255
24500,7.7988,-0.9242,41.1341,255,255,255
