Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-4.719,-5.83,0,255,255,255
250,-4.7207,-5.8283,0.0115,255,255,255
500,-4.727,-5.8218,0.0553,255,255,255
750,-4.7379,-5.8105,0.1312,255,255,255
1000,-4.7533,-5.7947,0.2382,255,255,255
1250,-4.7731,-5.7743,0.3757,255,255,255
1500,-4.7972,-5.7495,0.5428,255,255,255
1750,-4.8254,-5.7204,0.7387,255,255,255
2000,-4.8577,-5.6872,0.9626,255,255,255
2250,-4.8939,-5.65,1.2138,255,255,255
2500,-4.9339,-5.6088,1.4914,255,255,255
2750,-4.9776,-5.5639,1.7946,255,255,255
3000,-5.0249,-5.5153,2.1227,255,255,255
3250,-5.0757,-5.4631,2.4748,255,255,255
3500,-5.1298,-5.4074,2.8502,255,255,255
3750,-5.1872,-5.3485,3.248,255,255,255
4000,-5.2478,-5.2863,3.6675,255,255,255
4250,-5.3113,-5.221,4.1079,255,255,255
4500,-5.3778,-5.1528,4.5683,255,255,255
4750,-5.4471,-5.0818,5.048,255,255,255
5000,-5.519,-5.008,5.5462,255,255,255
5250,-5.5936,-4.9316,6.062,255,255,255
5500,-5.6706,-4.8527,6.5948,255,255,255
5750,-5.7499,-4.7714,7.1436,255,255,255
6000,-5.8315,-4.6878,7.7077,255,255,255
6250,-5.9152,-4.6022,8.2863,255,255,255
6500,-6.0009,-4.5145,8.8786,255,255,255
6750,-6.0885,-4.4249,9.4838,255,255,255
7000,-6.1778,-4.3335,10.1012,255,255,255
7250,-6.2688,-4.2405,10.7298,255,255,255
7500,-6.3613,-4.1459,11.3689,255,255,255
7750,-6.4552,-4.0499,12.0178,255,255,255
8000,-6.5504,-3.9526,12.6755,255,255,255
8250,-6.6467,-3.8541,13.3413,255,255,255
8500,-6.7441,-3.7545,14.0145,255,255,255
8750,-6.8423,-3.654,14.6942,255,255,255
9000,-6.9414,-3.5526,15.3796,255,255,255
9250,-7.0412,-3.4505,16.0699,255,255,255
9500,-7.1415,-3.3478,16.7643,255,255,255
9750,-7.2424,-3.2446,17.462,255,255,255
