Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,4.719,5.83,0,255,255,255
250,4.7207,5.8283,0.006,255,255,255
500,4.727,5.8218,0.029,255,255,255
750,4.7379,5.8106,0.0688,255,255,255
1000,4.7534,5.7947,0.125,255,255,255
1250,4.7733,5.7743,0.1971,255,255,255
1500,4.7974,5.7496,0.2848,255,255,255
1750,4.8257,5.7206,0.3875,255,255,255
2000,4.858,5.6874,0.505,255,255,255
2250,4.8943,5.6502,0.6367,255,255,255
2500,4.9344,5.6091,0.7823,255,255,255
2750,4.9782,5.5641,0.9414,255,255,255
3000,5.0256,5.5155,1.1135,255,255,255
3250,5.0764,5.4634,1.2982,255,255,255
3500,5.1306,5.4078,1.495,255,255,255
3750,5.1881,5.3489,1.7037,255,255,255
4000,5.2487,5.2867,1.9237,255,255,255
4250,5.3122,5.2215,2.1546,255,255,255
4500,5.3787,5.1533,2.3961,255,255,255
4750,5.448,5.0823,2.6476,255,255,255
5000,5.5199,5.0085,2.9089,255,255,255
5250,5.5944,4.9321,3.1793,255,255,255
5500,5.6713,4.8532,3.4587,255,255,255
5750,5.7506,4.7719,3.7464,255,255,255
6000,5.832,4.6884,4.0422,255,255,255
6250,5.9156,4.6027,4.3455,255,255,255
6500,6.0011,4.515,4.656,255,255,255
6750,6.0885,4.4254,4.9733,255,255,255
7000,6.1776,4.3339,5.2969,255,255,255
7250,6.2683,4.2409,5.6264,255,255,255
7500,6.3606,4.1462,5.9614,255,255,255
7750,6.4543,4.0501,6.3015,255,255,255
8000,6.5492,3.9528,6.6463,255,255,255
8250,6.6453,3.8542,6.9953,255,255,255
8500,6.7425,3.7545,7.3481,255,255,255
8750,6.8406,3.6539,7.7043,255,255,255
9000,6.9396,3.5524,8.0635,255,255,255
9250,7.0392,3.4502,8.4252,255,255,255
9500,7.1395,3.3473,8.7891,255,255,255
9750,7.2402,3.244,9.1548,255,255,255
10000,7.3413,3.1403,9.5218,255,255,255
10250,7.4427,3.0364,9.8896,255,255,255
10500,7.5441,2.9323,10.2579,255,255,255
10750,7.6456,2.8282,10.6263,255,255,255
11000,7.747,2.7242,10.9943,255,255,255
11250,7.8482,2.6204,11.3616,255,255,255
11500,7.9491,2.517,11.7276,255,255,255
11750,8.0495,2.414,12.0921,255,255,255
12000,8.1494,2.3115,12.4544,255,255,255
12250,8.2486,2.2098,12.8144,255,255,255
12500,8.347,2.1089,13.1715,255,255,255
12750,8.4445,2.0089,13.5252,255,255,255
13000,8.541,1.9099,13.8753,255,255,255
13250,8.6364,1.8121,14.2213,255,255,255
13500,8.7305,1.7156,14.5627,255,255,255
13750,8.8233,1.6204,14.8991,255,255,255
14000,8.9145,1.5268,15.2302,255,255,255
14250,9.0042,1.4348,15.5554,255,255,255
14500,9.0922,1.3446,15.8745,255,255,255
14750,9.1784,1.2562,16.1869,255,255,255
15000,9.2626,1.1699,16.4922,255,255,255
15250,9.3448,1.0856,16.7901,255,255,255
15500,9.4248,1.0036,17.0801,255,255,255
15750,9.5025,0.9239,17.3618,255,255,255
16000,9.5778,0.8467,17.6349,255,255,255
16250,9.6506,0.7721,17.899,255,255,255
16500,9.7207,0.7002,18.1536,255,255,255
16750,9.7881,0.6311,18.3983,255,255,255
17000,9.8526,0.565,18.6327,255,255,255
17250,9.9142,0.502,18.8563,255,255,255
17500,9.9726,0.4421,19.0688,255,255,255
17750,10.0279,0.3854,19.2696,255,255,255
18000,10.0799,0.3322,19.4585,255,255,255
18250,10.1285,0.2825,19.6349,255,255,255
18500,10.1735,0.2364,19.7984,255,255,255
18750,10.215,0.194,19.9486,255,255,255
19000,10.2526,0.1555,20.0851,255,255,255
19250,10.2864,0.1209,20.2074,255,255,255
19500,10.3163,0.0904,20.3152,255,255,255
19750,10.3421,0.064,20.4079,255,255,255
20000,10.3642,0.0431,20.4843,255,255,255
20250,10.383,0.0286,20.5435,255,255,255
20500,10.3975,0.0186,20.5872,255,255,255
20750,10.4068,0.0112,20.6171,255,255,255
21000,10.4099,0.0042,20.6349,255,255,255
21250,10.4057,-0.0041,20.6423,255,255,255
21500,10.3934,-0.0159,20.6412,255,255,255
21750,10.3718,-0.0331,20.6331,255,255,255
22000,10.3402,-0.0577,20.62,255,255,255
22250,10.2974,-0.0917,20.6034,255,255,255
22500,10.2425,-0.1371,20.5851,255,255,255
22750,10.1752,-0.1943,20.5655,255,255,255
23000,10.0963,-0.2614,20.5426,255,255,255
23250,10.006,-0.338,20.5166,255,255,255
23500,9.9045,-0.4242,20.4875,255,255,255
23750,9.7918,-0.5197,20.4554,255,255,255
24000,9.6682,-0.6244,20.4203,255,255,255
24250,9.5337,-0.7381,20.3823,255,255,255
24500,9.3884,-0.8608,20.3414,255,255,255
24750,9.2325,-0.9923,20.2978,255,255,255
25000,9.0662,-1.1323,20.2515,255,255,255
25250,8.8895,-1.2809,20.2026,255,255,255
25500,8.7026,-1.4378,20.1511,255,255,255
25750,8.5057,-1.6029,20.0971,255,255,255
26000,8.2987,-1.7761,20.0407,255,255,255
26250,8.0818,-1.9573,19.982,255,255,255
26500,7.8546,-2.1464,19.9212,255,255,255
26750,7.6173,-2.3434,19.8584,255,255,255
27000,7.37,-2.548,19.7937,255,255,255
27250,7.1129,-2.7603,19.7272,255,255,255
27500,6.8462,-2.98,19.659,255,255,255
27750,6.5699,-3.207,19.5891,255,255,255
28000,6.2841,-3.4412,19.5178,255,255,255
28250,5.9892,-3.6824,19.445,255,255,255
28500,5.6851,-3.9306,19.3709,255,255,255
28750,5.372,-4.1856,19.2956,255,255,255
29000,5.0502,-4.4473,19.2191,255,255,255
29250,4.7196,-4.7156,19.1416,255,255,255
29500,4.3805,-4.9902,19.0631,255,255,255
29750,4.033,-5.2712,18.9838,255,255,255
30000,3.6773,-5.5583,18.9037,255,255,255
30250,3.3134,-5.8514,18.823,255,255,255
30500,2.9416,-6.1505,18.7417,255,255,255
30750,2.562,-6.4554,18.6599,255,255,255
31000,2.1746,-6.7659,18.5778,255,255,255
31250,1.7798,-7.0819,18.4954,255,255,255
31500,1.3775,-7.4033,18.4128,255,255,255
31750,0.968,-7.73,18.3301,255,255,255
32000,0.5514,-8.0618,18.2474,255,255,255
32250,0.1278,-8.3987,18.1649,255,255,255
32500,-0.3026,-8.7404,18.0825,255,255,255
32750,-0.7397,-9.0869,18.0004,255,255,255
33000,-1.1834,-9.438,17.9187,255,255,255
33250,-1.6334,-9.7936,17.8375,255,255,255
33500,-2.0897,-10.1536,17.7569,255,255,255
33750,-2.552,-10.5178,17.677,255,255,255
34000,-3.0204,-10.8861,17.5978,255,255,255
34250,-3.4946,-11.2584,17.5195,255,255,255
34500,-3.9744,-11.6346,17.4421,255,255,255
34750,-4.4598,-12.0145,17.3659,255,255,255
