Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0.499,5.385,0,255,255,255
250,0.4989,5.3834,0.0047,255,255,255
500,0.4983,5.3774,0.0225,255,255,255
750,0.4974,5.3671,0.0533,255,255,255
1000,0.496,5.3525,0.0968,255,255,255
1250,0.4943,5.3337,0.1527,255,255,255
1500,0.4923,5.3109,0.2206,255,255,255
1750,0.4898,5.2842,0.3002,255,255,255
2000,0.4871,5.2536,0.3912,255,255,255
2250,0.4839,5.2193,0.4932,255,255,255
2500,0.4805,5.1814,0.606,255,255,255
2750,0.4767,5.14,0.7292,255,255,255
3000,0.4727,5.0952,0.8625,255,255,255
3250,0.4683,5.0471,1.0056,255,255,255
3500,0.4636,4.9959,1.1581,255,255,255
3750,0.4587,4.9416,1.3198,255,255,255
4000,0.4535,4.8843,1.4902,255,255,255
4250,0.448,4.8242,1.6691,255,255,255
4500,0.4422,4.7613,1.8562,255,255,255
4750,0.4363,4.6958,2.0511,255,255,255
5000,0.4301,4.6278,2.2535,255,255,255
5250,0.4236,4.5573,2.4631,255,255,255
5500,0.417,4.4846,2.6795,255,255,255
5750,0.4101,4.4096,2.9025,255,255,255
6000,0.4031,4.3326,3.1317,255,255,255
6250,0.3958,4.2536,3.3668,255,255,255
6500,0.3884,4.1727,3.6074,255,255,255
6750,0.3809,4.09,3.8533,255,255,255
7000,0.3731,4.0057,4.1041,255,255,255
7250,0.3653,3.9198,4.3595,255,255,255
7500,0.3573,3.8325,4.6191,255,255,255
7750,0.3491,3.7438,4.8827,255,255,255
8000,0.3409,3.654,5.1499,255,255,255
8250,0.3325,3.563,5.4204,255,255,255
8500,0.324,3.471,5.6939,255,255,255
8750,0.3155,3.3781,5.97,255,255,255
9000,0.3069,3.2844,6.2485,255,255,255
9250,0.2982,3.1901,6.529,255,255,255
9500,0.2894,3.0952,6.8111,255,255,255
9750,0.2806,2.9998,7.0946,255,255,255
10000,0.2718,2.904,7.3791,255,255,255
10250,0.2629,2.808,7.6644,255,255,255
10500,0.254,2.7119,7.95,255,255,255
10750,0.2451,2.6157,8.2357,255,255,255
11000,0.2362,2.5196,8.5211,255,255,255
11250,0.2272,2.4238,8.8059,255,255,255
11500,0.2184,2.3282,9.0899,255,255,255
11750,0.2095,2.233,9.3726,255,255,255
12000,0.2007,2.1383,9.6537,255,255,255
12250,0.1919,2.0442,9.933,255,255,255
12500,0.1832,1.9509,10.21,255,255,255
12750,0.1745,1.8584,10.4845,255,255,255
13000,0.1659,1.7668,10.7562,255,255,255
13250,0.1574,1.6763,11.0247,255,255,255
13500,0.149,1.587,11.2897,255,255,255
13750,0.1407,1.4989,11.5509,255,255,255
14000,0.1325,1.4122,11.8079,255,255,255
14250,0.1245,1.327,12.0605,255,255,255
14500,0.1165,1.2434,12.3082,255,255,255
14750,0.1087,1.1616,12.5509,255,255,255
15000,0.1011,1.0815,12.7881,255,255,255
15250,0.0936,1.0033,13.0196,255,255,255
15500,0.0863,0.9272,13.2449,255,255,255
15750,0.0792,0.8532,13.4639,255,255,255
16000,0.0723,0.7815,13.6761,255,255,255
16250,0.0657,0.7124,13.8811,255,255,255
16500,0.0593,0.6459,14.0788,255,255,255
16750,0.0533,0.582,14.2687,255,255,255
17000,0.0476,0.521,14.4505,255,255,255
17250,0.0422,0.4628,14.6239,255,255,255
17500,0.0371,0.4076,14.7886,255,255,255
17750,0.0323,0.3555,14.9443,255,255,255
18000,0.0278,0.3064,15.0906,255,255,255
18250,0.0236,0.2607,15.2272,255,255,255
18500,0.0198,0.2182,15.3539,255,255,255
18750,0.0162,0.1792,15.4702,255,255,255
19000,0.013,0.1436,15.5759,255,255,255
19250,0.0101,0.1116,15.6707,255,255,255
19500,0.0076,0.0833,15.7542,255,255,255
19750,0.0053,0.0588,15.8261,255,255,255
20000,0.0041,0.0388,15.8856,255,255,255
20250,0.0041,0.0239,15.9323,255,255,255
20500,0.0038,0.0124,15.9676,255,255,255
20750,0.0018,0.0029,15.9929,255,255,255
21000,-0.0035,-0.0063,16.0096,255,255,255
21250,-0.0136,-0.0168,16.0192,255,255,255
21500,-0.0301,-0.0302,16.0229,255,255,255
21750,-0.0544,-0.0481,16.0221,255,255,255
22000,-0.088,-0.072,16.0184,255,255,255
22250,-0.1326,-0.1037,16.013,255,255,255
22500,-0.1896,-0.1447,16.0074,255,255,255
22750,-0.2605,-0.1965,16.0029,255,255,255
23000,-0.3469,-0.2609,16.001,255,255,255
23250,-0.4485,-0.3374,16.0014,255,255,255
23500,-0.5627,-0.4235,16.002,255,255,255
23750,-0.6894,-0.5189,16.0027,255,255,255
24000,-0.8282,-0.6235,16.0036,255,255,255
24250,-0.979,-0.7372,16.0048,255,255,255
24500,-1.1418,-0.8597,16.0062,255,255,255
24750,-1.3162,-0.9911,16.008,255,255,255
25000,-1.5021,-1.1312,16.0102,255,255,255
25250,-1.6994,-1.2798,16.0129,255,255,255
25500,-1.9078,-1.4368,16.0161,255,255,255
25750,-2.1273,-1.6022,16.0198,255,255,255
26000,-2.3576,-1.7757,16.0242,255,255,255
26250,-2.5986,-1.9573,16.0293,255,255,255
26500,-2.85,-2.1468,16.0351,255,255,255
26750,-3.1118,-2.3441,16.0417,255,255,255
27000,-3.3837,-2.549,16.0491,255,255,255
27250,-3.6657,-2.7616,16.0575,255,255,255
27500,-3.9574,-2.9815,16.067,255,255,255
27750,-4.2589,-3.2087,16.0779,255,255,255
28000,-4.57,-3.4432,16.0903,255,255,255
28250,-4.8903,-3.6846,16.1042,255,255,255
28500,-5.2198,-3.933,16.1196,255,255,255
28750,-5.5582,-4.1881,16.1366,255,255,255
29000,-5.9053,-4.4499,16.1553,255,255,255
29250,-6.2608,-4.7183,16.1756,255,255,255
29500,-6.6247,-4.993,16.1975,255,255,255
29750,-6.9967,-5.274,16.2212,255,255,255
30000,-7.3766,-5.5612,16.2467,255,255,255
30250,-7.7641,-5.8544,16.2739,255,255,255
30500,-8.1591,-6.1534,16.303,255,255,255
30750,-8.5614,-6.4583,16.3339,255,255,255
31000,-8.9708,-6.7688,16.3667,255,255,255
31250,-9.387,-7.0848,16.4015,255,255,255
31500,-9.8099,-7.4061,16.4382,255,255,255
31750,-10.2392,-7.7328,16.4769,255,255,255
32000,-10.6748,-8.0645,16.5177,255,255,255
32250,-11.1164,-8.4013,16.5605,255,255,255
32500,-11.5638,-8.7429,16.6054,255,255,255
32750,-12.0169,-9.0893,16.6525,255,255,255
33000,-12.4754,-9.4403,16.7017,255,255,255
33250,-12.9391,-9.7958,16.7531,255,255,255
33500,-13.4078,-10.1557,16.8068,255,255,255
33750,-13.8814,-10.5198,16.8628,255,255,255
34000,-14.3595,-10.888,16.9211,255,255,255
34250,-14.842,-11.2602,16.9817,255,255,255
34500,-15.3288,-11.6363,17.0447,255,255,255
34750,-15.8195,-12.0161,17.1102,255,255,255
35000,-16.314,-12.3994,17.178,255,255,255
35250,-16.8121,-12.7863,17.2484,255,255,255
35500,-17.3135,-13.1765,17.3213,255,255,255
35750,-17.8181,-13.5699,17.3968,255,255,255
36000,-18.3257,-13.9664,17.4748,255,255,255
36250,-18.836,-14.3659,17.5555,255,255,255
36500,-19.3489,-14.7682,17.6388,255,255,255
36750,-19.8642,-15.1733,17.7249,255,255,255
37000,-20.3815,-15.5809,17.8137,255,255,255
37250,-20.9008,-15.9909,17.9052,255,255,255
37500,-21.4219,-16.4033,17.9995,255,255,255
37750,-21.9444,-16.8179,18.0967,255,255,255
38000,-22.4683,-17.2345,18.1968,255,255,255
38250,-22.9933,-17.6531,18.2997,255,255,255
38500,-23.5192,-18.0736,18.4057,255,255,255
38750,-24.0459,-18.4957,18.5145,255,255,255
39000,-24.573,-18.9193,18.6264,255,255,255
39250,-25.1004,-19.3445,18.7414,255,255,255
39500,-25.6277,-19.7709,18.8593,255,255,255
