Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-0.944,-1.166,0,255,255,255
250,-0.9446,-1.1657,0.0128,255,255,255
500,-0.9467,-1.1643,0.0614,255,255,255
750,-0.9505,-1.1621,0.1455,255,255,255
1000,-0.9558,-1.1589,0.2643,255,255,255
1250,-0.9626,-1.1548,0.4168,255,255,255
1500,-0.9709,-1.1498,0.6022,255,255,255
1750,-0.9806,-1.144,0.8196,255,255,255
2000,-0.9917,-1.1373,1.0681,255,255,255
2250,-1.0042,-1.1299,1.3468,255,255,255
2500,-1.018,-1.1216,1.6549,255,255,255
2750,-1.0331,-1.1126,1.9914,255,255,255
3000,-1.0494,-1.1029,2.3555,255,255,255
3250,-1.067,-1.0925,2.7464,255,255,255
3500,-1.0857,-1.0813,3.163,255,255,255
3750,-1.1056,-1.0696,3.6046,255,255,255
4000,-1.1265,-1.0572,4.0703,255,255,255
4250,-1.1486,-1.0442,4.5592,255,255,255
4500,-1.1716,-1.0306,5.0703,255,255,255
4750,-1.1957,-1.0164,5.6029,255,255,255
5000,-1.2207,-1.0018,6.1561,255,255,255
5250,-1.2466,-0.9866,6.7289,255,255,255
5500,-1.2733,-0.9709,7.3204,255,255,255
5750,-1.3009,-0.9548,7.9294,255,255,255
6000,-1.3292,-0.9381,8.5551,255,255,255
6250,-1.3581,-0.921,9.1966,255,255,255
6500,-1.3878,-0.9035,9.8531,255,255,255
6750,-1.4181,-0.8856,10.5236,255,255,255
7000,-1.4489,-0.8673,11.2073,255,255,255
7250,-1.4803,-0.8486,11.9033,255,255,255
7500,-1.5122,-0.8297,12.6108,255,255,255
7750,-1.5446,-0.8104,13.3289,255,255,255
8000,-1.5774,-0.7908,14.0567,255,255,255
8250,-1.6106,-0.771,14.7933,255,255,255
8500,-1.6441,-0.751,15.5379,255,255,255
8750,-1.678,-0.7308,16.2896,255,255,255
9000,-1.7121,-0.7103,17.0475,255,255,255
9250,-1.7465,-0.6898,17.8108,255,255,255
9500,-1.7811,-0.6691,18.5786,255,255,255
9750,-1.8158,-0.6482,19.35,255,255,255
10000,-1.8506,-0.6273,20.1241,255,255,255
10250,-1.8855,-0.6064,20.9002,255,255,255
10500,-1.9205,-0.5854,21.6772,255,255,255
10750,-1.9555,-0.5644,22.4544,255,255,255
11000,-1.9904,-0.5435,23.2308,255,255,255
11250,-2.0252,-0.5225,24.0056,255,255,255
11500,-2.06,-0.5016,24.778,255,255,255
11750,-2.0945,-0.4809,25.547,255,255,255
12000,-2.1289,-0.4602,26.3118,255,255,255
12250,-2.1631,-0.4397,27.0715,255,255,255
