Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,2.387,7.717,0,255,255,255
250,2.388,7.7147,0.005,255,255,255
500,2.3916,7.7061,0.0242,255,255,255
750,2.398,7.6913,0.0574,255,255,255
1000,2.407,7.6703,0.1042,255,255,255
1250,2.4185,7.6433,0.1643,255,255,255
1500,2.4325,7.6105,0.2374,255,255,255
1750,2.4489,7.5721,0.3231,255,255,255
2000,2.4676,7.5282,0.4211,255,255,255
2250,2.4887,7.479,0.5309,255,255,255
2500,2.5119,7.4245,0.6523,255,255,255
2750,2.5373,7.3651,0.785,255,255,255
3000,2.5648,7.3007,0.9284,255,255,255
3250,2.5943,7.2317,1.0824,255,255,255
3500,2.6258,7.1581,1.2466,255,255,255
3750,2.6591,7.0801,1.4206,255,255,255
4000,2.6942,6.9978,1.604,255,255,255
4250,2.7311,6.9115,1.7966,255,255,255
4500,2.7697,6.8212,1.998,255,255,255
4750,2.8099,6.7271,2.2077,255,255,255
5000,2.8517,6.6295,2.4255,255,255,255
5250,2.8949,6.5283,2.6511,255,255,255
5500,2.9396,6.4239,2.884,255,255,255
5750,2.9856,6.3163,3.124,255,255,255
6000,3.0329,6.2057,3.3706,255,255,255
6250,3.0814,6.0923,3.6236,255,255,255
6500,3.131,5.9762,3.8826,255,255,255
6750,3.1818,5.8576,4.1471,255,255,255
7000,3.2335,5.7366,4.417,255,255,255
7250,3.2863,5.6134,4.6918,255,255,255
7500,3.3399,5.4881,4.9712,255,255,255
7750,3.3943,5.3609,5.2548,255,255,255
8000,3.4495,5.232,5.5424,255,255,255
8250,3.5053,5.1015,5.8334,255,255,255
8500,3.5618,4.9696,6.1277,255,255,255
8750,3.6188,4.8364,6.4247,255,255,255
9000,3.6764,4.702,6.7243,255,255,255
9250,3.7343,4.5667,7.0261,255,255,255
9500,3.7926,4.4306,7.3296,255,255,255
9750,3.8512,4.2939,7.6346,255,255,255
10000,3.91,4.1567,7.9407,255,255,255
10250,3.969,4.0191,8.2475,255,255,255
10500,4.028,3.8813,8.5547,255,255,255
10750,4.0871,3.7435,8.862,255,255,255
11000,4.1461,3.6059,9.169,255,255,255
11250,4.205,3.4685,9.4753,255,255,255
11500,4.2638,3.3316,9.7807,255,255,255
11750,4.3223,3.1953,10.0847,255,255,255
12000,4.3805,3.0597,10.387,255,255,255
12250,4.4383,2.9251,10.6873,255,255,255
12500,4.4956,2.7915,10.9852,255,255,255
12750,4.5525,2.6592,11.2804,255,255,255
13000,4.6088,2.5282,11.5725,255,255,255
13250,4.6644,2.3988,11.8611,255,255,255
13500,4.7193,2.271,12.146,255,255,255
13750,4.7735,2.1452,12.4267,255,255,255
14000,4.8268,2.0213,12.703,255,255,255
14250,4.8792,1.8996,12.9744,255,255,255
14500,4.9306,1.7802,13.2407,255,255,255
14750,4.981,1.6633,13.5014,255,255,255
15000,5.0303,1.549,13.7563,255,255,255
15250,5.0784,1.4375,14.0049,255,255,255
15500,5.1253,1.3289,14.247,255,255,255
15750,5.1708,1.2235,14.4822,255,255,255
16000,5.2147,1.1212,14.7101,255,255,255
16250,5.2572,1.0224,14.9304,255,255,255
16500,5.298,0.9271,15.1429,255,255,255
16750,5.3371,0.8354,15.347,255,255,255
17000,5.3745,0.7477,15.5425,255,255,255
17250,5.4102,0.664,15.729,255,255,255
17500,5.444,0.5844,15.9062,255,255,255
17750,5.476,0.5093,16.0737,255,255,255
18000,5.506,0.4386,16.2311,255,255,255
18250,5.5341,0.3726,16.3781,255,255,255
18500,5.5602,0.3114,16.5144,255,255,255
18750,5.5842,0.2552,16.6396,255,255,255
19000,5.6061,0.2042,16.7534,255,255,255
19250,5.6258,0.1585,16.8553,255,255,255
19500,5.6433,0.1182,16.9451,255,255,255
19750,5.6594,0.085,17.0213,255,255,255
20000,5.6748,0.0606,17.0826,255,255,255
20250,5.6885,0.0429,17.1304,255,255,255
20500,5.699,0.0301,17.166,255,255,255
20750,5.7051,0.02,17.1908,255,255,255
21000,5.7056,0.0108,17.2064,255,255,255
21250,5.6991,0.0005,17.2142,255,255,255
21500,5.6843,-0.0129,17.2155,255,255,255
21750,5.6601,-0.0313,17.2117,255,255,255
22000,5.6251,-0.0569,17.2044,255,255,255
22250,5.578,-0.0915,17.1949,255,255,255
22500,5.5176,-0.1371,17.1847,255,255,255
22750,5.4434,-0.1943,17.174,255,255,255
23000,5.3568,-0.2613,17.1616,255,255,255
23250,5.258,-0.3378,17.1475,255,255,255
23500,5.1469,-0.4238,17.1317,255,255,255
23750,5.0238,-0.5191,17.1143,255,255,255
24000,4.8889,-0.6236,17.0954,255,255,255
24250,4.7422,-0.7371,17.075,255,255,255
24500,4.5838,-0.8597,17.0533,255,255,255
24750,4.4141,-0.991,17.0304,255,255,255
25000,4.2329,-1.131,17.0062,255,255,255
25250,4.0406,-1.2796,16.9808,255,255,255
25500,3.8372,-1.4367,16.9545,255,255,255
25750,3.6229,-1.602,16.9271,255,255,255
26000,3.3978,-1.7756,16.8988,255,255,255
26250,3.162,-1.9572,16.8697,255,255,255
26500,2.9158,-2.1467,16.8398,255,255,255
26750,2.6591,-2.3441,16.8092,255,255,255
27000,2.3922,-2.5491,16.7781,255,255,255
27250,2.1149,-2.7617,16.7466,255,255,255
27500,1.8274,-2.9817,16.7149,255,255,255
27750,1.53,-3.209,16.683,255,255,255
28000,1.2227,-3.4435,16.6511,255,255,255
28250,0.9059,-3.685,16.619,255,255,255
28500,0.5796,-3.9334,16.5871,255,255,255
28750,0.2441,-4.1886,16.5552,255,255,255
29000,-0.1005,-4.4505,16.5236,255,255,255
29250,-0.4539,-4.7189,16.4922,255,255,255
29500,-0.8161,-4.9937,16.4612,255,255,255
29750,-1.1868,-5.2748,16.4306,255,255,255
30000,-1.5659,-5.562,16.4005,255,255,255
30250,-1.9531,-5.8553,16.371,255,255,255
30500,-2.3483,-6.1544,16.3422,255,255,255
30750,-2.7513,-6.4593,16.3141,255,255,255
31000,-3.1619,-6.7698,16.2867,255,255,255
31250,-3.58,-7.0859,16.2603,255,255,255
31500,-4.0053,-7.4073,16.2348,255,255,255
31750,-4.4377,-7.734,16.2104,255,255,255
32000,-4.877,-8.0658,16.187,255,255,255
32250,-5.323,-8.4026,16.1648,255,255,255
32500,-5.7755,-8.7443,16.1439,255,255,255
32750,-6.2344,-9.0908,16.1244,255,255,255
33000,-6.6995,-9.4418,16.1062,255,255,255
33250,-7.1706,-9.7973,16.0895,255,255,255
33500,-7.6474,-10.1572,16.0744,255,255,255
33750,-8.1299,-10.5213,16.0609,255,255,255
34000,-8.6179,-10.8896,16.0491,255,255,255
34250,-9.1111,-11.2618,16.0391,255,255,255
34500,-9.6094,-11.6378,16.031,255,255,255
