Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-2.831,-3.498,0,255,255,255
250,-2.8318,-3.497,0.005,255,255,255
500,-2.835,-3.4931,0.0242,255,255,255
750,-2.8405,-3.4863,0.0574,255,255,255
1000,-2.8483,-3.4768,0.1042,255,255,255
1250,-2.8583,-3.4645,0.1643,255,255,255
1500,-2.8705,-3.4496,0.2374,255,255,255
1750,-2.8848,-3.4321,0.3231,255,255,255
2000,-2.9011,-3.4122,0.4211,255,255,255
2250,-2.9193,-3.3898,0.5309,255,255,255
2500,-2.9395,-3.365,0.6523,255,255,255
2750,-2.9616,-3.338,0.785,255,255,255
3000,-2.9855,-3.3088,0.9284,255,255,255
3250,-3.0111,-3.2774,1.0824,255,255,255
3500,-3.0384,-3.244,1.2466,255,255,255
3750,-3.0674,-3.2085,1.4206,255,255,255
4000,-3.0979,-3.1711,1.604,255,255,255
4250,-3.13,-3.1319,1.7966,255,255,255
4500,-3.1635,-3.0909,1.998,255,255,255
4750,-3.1984,-3.0482,2.2077,255,255,255
5000,-3.2346,-3.0038,2.4255,255,255,255
5250,-3.2721,-2.9579,2.6511,255,255,255
5500,-3.3109,-2.9104,2.884,255,255,255
5750,-3.3508,-2.8616,3.124,255,255,255
6000,-3.3919,-2.8113,3.3706,255,255,255
6250,-3.434,-2.7598,3.6236,255,255,255
6500,-3.4771,-2.7071,3.8826,255,255,255
6750,-3.5211,-2.6532,4.1471,255,255,255
7000,-3.566,-2.5983,4.417,255,255,255
7250,-3.6117,-2.5424,4.6918,255,255,255
7500,-3.6582,-2.4855,4.9712,255,255,255
7750,-3.7054,-2.4278,5.2548,255,255,255
8000,-3.7532,-2.3693,5.5424,255,255,255
8250,-3.8016,-2.31,5.8334,255,255,255
8500,-3.8506,-2.2502,6.1277,255,255,255
8750,-3.9,-2.1897,6.4247,255,255,255
9000,-3.9499,-2.1288,6.7243,255,255,255
9250,-4.0001,-2.0674,7.0261,255,255,255
9500,-4.0506,-2.0057,7.3296,255,255,255
9750,-4.1013,-1.9437,7.6346,255,255,255
10000,-4.1523,-1.8815,7.9407,255,255,255
10250,-4.2033,-1.8191,8.2475,255,255,255
10500,-4.2544,-1.7566,8.5547,255,255,255
10750,-4.3055,-1.6942,8.862,255,255,255
11000,-4.3566,-1.6318,9.169,255,255,255
11250,-4.4076,-1.5696,9.4753,255,255,255
11500,-4.4584,-1.5075,9.7807,255,255,255
11750,-4.509,-1.4458,10.0847,255,255,255
12000,-4.5593,-1.3844,10.387,255,255,255
12250,-4.6092,-1.3234,10.6873,255,255,255
12500,-4.6588,-1.263,10.9852,255,255,255
12750,-4.7079,-1.2031,11.2804,255,255,255
13000,-4.7565,-1.1438,11.5725,255,255,255
13250,-4.8045,-1.0853,11.8611,255,255,255
13500,-4.8519,-1.0275,12.146,255,255,255
13750,-4.8986,-0.9706,12.4267,255,255,255
14000,-4.9445,-0.9146,12.703,255,255,255
14250,-4.9897,-0.8596,12.9744,255,255,255
14500,-5.034,-0.8057,13.2407,255,255,255
14750,-5.0773,-0.7529,13.5014,255,255,255
15000,-5.1197,-0.7013,13.7563,255,255,255
15250,-5.1611,-0.651,14.0049,255,255,255
15500,-5.2013,-0.6021,14.247,255,255,255
15750,-5.2405,-0.5545,14.4822,255,255,255
16000,-5.2784,-0.5084,14.7101,255,255,255
16250,-5.3151,-0.4637,14.9304,255,255,255
16500,-5.3505,-0.4206,15.1429,255,255,255
16750,-5.3845,-0.3791,15.347,255,255,255
17000,-5.4171,-0.3394,15.5425,255,255,255
17250,-5.4482,-0.3014,15.729,255,255,255
17500,-5.4777,-0.2654,15.9062,255,255,255
17750,-5.5056,-0.2313,16.0737,255,255,255
18000,-5.5319,-0.1992,16.2311,255,255,255
18250,-5.5564,-0.1692,16.3781,255,255,255
18500,-5.5791,-0.1414,16.5144,255,255,255
18750,-5.5999,-0.1159,16.6396,255,255,255
19000,-5.6189,-0.0928,16.7534,255,255,255
19250,-5.6358,-0.072,16.8553,255,255,255
19500,-5.6507,-0.0538,16.9451,255,255,255
19750,-5.6621,-0.0375,17.021,255,255,255
20000,-5.6687,-0.0225,17.0814,255,255,255
20250,-5.6721,-0.0095,17.1279,255,255,255
20500,-5.6742,0.0004,17.1625,255,255,255
20750,-5.677,0.0064,17.1872,255,255,255
21000,-5.6822,0.0076,17.2036,255,255,255
21250,-5.6918,0.003,17.2139,255,255,255
21500,-5.7077,-0.0081,17.2197,255,255,255
21750,-5.7316,-0.0268,17.2229,255,255,255
22000,-5.7655,-0.0539,17.2256,255,255,255
22250,-5.8112,-0.0904,17.2294,255,255,255
22500,-5.8705,-0.1371,17.2364,255,255,255
22750,-5.9442,-0.1943,17.247,255,255,255
23000,-6.0304,-0.2612,17.2595,255,255,255
23250,-6.1289,-0.3377,17.2739,255,255,255
23500,-6.2395,-0.4236,17.2902,255,255,255
23750,-6.362,-0.5188,17.3085,255,255,255
24000,-6.4964,-0.6232,17.3288,255,255,255
24250,-6.6422,-0.7366,17.351,255,255,255
24500,-6.7995,-0.8591,17.3752,255,255,255
24750,-6.9679,-0.9903,17.4015,255,255,255
25000,-7.1474,-1.1303,17.4298,255,255,255
25250,-7.3376,-1.2789,17.4602,255,255,255
25500,-7.5385,-1.4359,17.4927,255,255,255
25750,-7.7498,-1.6013,17.5273,255,255,255
26000,-7.9713,-1.7749,17.564,255,255,255
26250,-8.203,-1.9566,17.6029,255,255,255
26500,-8.4445,-2.1464,17.6439,255,255,255
26750,-8.6957,-2.3439,17.6872,255,255,255
27000,-8.9564,-2.5491,17.7331,255,255,255
27250,-9.2264,-2.7618,17.7815,255,255,255
27500,-9.5055,-2.9819,17.8325,255,255,255
27750,-9.7934,-3.2093,17.886,255,255,255
28000,-10.09,-3.4438,17.942,255,255,255
28250,-10.3951,-3.6853,18.0005,255,255,255
28500,-10.7084,-3.9336,18.0616,255,255,255
28750,-11.0297,-4.1888,18.1253,255,255,255
29000,-11.3588,-4.4506,18.1915,255,255,255
29250,-11.6956,-4.7189,18.2602,255,255,255
29500,-12.0397,-4.9935,18.3314,255,255,255
29750,-12.391,-5.2744,18.4052,255,255,255
30000,-12.7492,-5.5615,18.4816,255,255,255
30250,-13.1143,-5.8546,18.5605,255,255,255
30500,-13.4858,-6.1535,18.6419,255,255,255
30750,-13.8637,-6.4582,18.7259,255,255,255
31000,-14.2477,-6.7685,18.8124,255,255,255
31250,-14.6376,-7.0844,18.9015,255,255,255
31500,-15.0331,-7.4056,18.9931,255,255,255
31750,-15.4342,-7.732,19.0873,255,255,255
32000,-15.8405,-8.0636,19.184,255,255,255
32250,-16.2519,-8.4002,19.2833,255,255,255
32500,-16.6681,-8.7417,19.3851,255,255,255
32750,-17.089,-9.0879,19.4895,255,255,255
33000,-17.5142,-9.4387,19.5965,255,255,255
33250,-17.9437,-9.7941,19.7059,255,255,255
33500,-18.3772,-10.1538,19.818,255,255,255
33750,-18.8144,-10.5177,19.9326,255,255,255
34000,-19.2552,-10.8858,20.0497,255,255,255
34250,-19.6994,-11.2579,20.1694,255,255,255
34500,-20.1467,-11.6338,20.2917,255,255,255
34750,-20.597,-12.0135,20.4165,255,255,255
35000,-21.0499,-12.3969,20.5439,255,255,255
35250,-21.5054,-12.7837,20.6738,255,255,255
35500,-21.9632,-13.1738,20.8063,255,255,255
35750,-22.423,-13.5673,20.9414,255,255,255
36000,-22.8847,-13.9638,21.079,255,255,255
36250,-23.3481,-14.3634,21.2192,255,255,255
36500,-23.813,-14.7658,21.362,255,255,255
36750,-24.279,-15.1709,21.5073,255,255,255
37000,-24.7461,-15.5787,21.6551,255,255,255
37250,-25.214,-15.9889,21.8056,255,255,255
37500,-25.6825,-16.4015,21.9586,255,255,255
37750,-26.1514,-16.8164,22.1142,255,255,255
38000,-26.6205,-17.2334,22.2723,255,255,255
38250,-27.0895,-17.6523,22.433,255,255,255
38500,-27.5583,-18.0731,22.5963,255,255,255
38750,-28.0264,-18.4957,22.762,255,255,255
39000,-28.4934,-18.9198,22.9299,255,255,255
39250,-28.9591,-19.3453,23.0999,255,255,255
39500,-29.4234,-19.7722,23.2718,255,255,255
39750,-29.8863,-20.2003,23.4455,255,255,255
40000,-30.3475,-20.6294,23.6211,255,255,255
40250,-30.8071,-21.0595,23.7983,255,255,255
40500,-31.2648,-21.4903,23.9771,255,255,255
40750,-31.7206,-21.9219,24.1574,255,255,255
41000,-32.1744,-22.354,24.3391,255,255,255
41250,-32.626,-22.7866,24.5221,255,255,255
41500,-33.0754,-23.2194,24.7063,255,255,255
41750,-33.5225,-23.6525,24.8916,255,255,255
42000,-33.9671,-24.0856,25.078,255,255,255
42250,-34.4091,-24.5186,25.2653,255,255,255
42500,-34.8484,-24.9514,25.4534,255,255,255
42750,-35.285,-25.3839,25.6422,255,255,255
43000,-35.7187,-25.816,25.8317,255,255,255
43250,-36.1493,-26.2475,26.0218,255,255,255
43500,-36.5768,-26.6782,26.2123,255,255,255
43750,-37.0012,-27.1082,26.4032,255,255,255
44000,-37.4221,-27.5372,26.5943,255,255,255
44250,-37.8397,-27.9651,26.7856,255,255,255
44500,-38.2537,-28.3918,26.977,255,255,255
44750,-38.664,-28.8172,27.1684,255,255,255
45000,-39.0706,-29.2411,27.3596,255,255,255
45250,-39.4733,-29.6634,27.5507,255,255,255
45500,-39.8721,-30.084,27.7415,255,255,255
45750,-40.2667,-30.5028,27.9319,255,255,255
46000,-40.6571,-30.9196,28.1218,255,255,255
46250,-41.0433,-31.3343,28.3111,255,255,255
46500,-41.425,-31.7468,28.4998,255,255,255
46750,-41.8022,-32.157,28.6877,255,255,255
47000,-42.1748,-32.5647,28.8747,255,255,255
47250,-42.5426,-32.9698,29.0608,255,255,255
47500,-42.9056,-33.3722,29.2458,255,255,255
47750,-43.2636,-33.7717,29.4297,255,255,255
48000,-43.6165,-34.1683,29.6123,255,255,255
48250,-43.9643,-34.5617,29.7936,255,255,255
48500,-44.3068,-34.952,29.9735,255,255,255
48750,-44.6439,-35.3388,30.1519,255,255,255
49000,-44.9755,-35.7222,30.3287,255,255,255
49250,-45.3015,-36.102,30.5037,255,255,255
49500,-45.6218,-36.4781,30.677,255,255,255
49750,-45.9362,-36.8503,30.8484,255,255,255
50000,-46.2448,-37.2185,31.0177,255,255,255
50250,-46.5474,-37.5826,31.185,255,255,255
50500,-46.8445,-37.9425,31.35,255,255,255
50750,-47.1361,-38.298,31.5127,255,255,255
51000,-47.4221,-38.6489,31.673,255,255,255
51250,-47.7024,-38.9953,31.831,255,255,255
51500,-47.9772,-39.3368,31.9865,255,255,255
51750,-48.2463,-39.6735,32.1395,255,255,255
52000,-48.5098,-40.0052,32.2899,255,255,255
52250,-48.7675,-40.3317,32.4378,255,255,255
52500,-49.0196,-40.653,32.583,255,255,255
52750,-49.266,-40.9688,32.7255,255,255,255
53000,-49.5066,-41.2792,32.8653,255,255,255
53250,-49.7415,-41.5839,33.0023,255,255,255
53500,-49.9707,-41.8828,33.1365,255,255,255
53750,-50.194,-42.1759,33.2678,255,255,255
54000,-50.4115,-42.4629,33.3962,255,255,255
54250,-50.6232,-42.7438,33.5215,255,255,255
54500,-50.8291,-43.0184,33.6439,255,255,255
54750,-51.0291,-43.2866,33.7632,255,255,255
55000,-51.2232,-43.5483,33.8794,255,255,255
55250,-51.4114,-43.8033,33.9924,255,255,255
55500,-51.5937,-44.0516,34.1021,255,255,255
55750,-51.77,-44.2929,34.2087,255,255,255
56000,-51.9404,-44.5273,34.3119,255,255,255
56250,-52.1048,-44.7544,34.4117,255,255,255
56500,-52.2632,-44.9743,34.5081,255,255,255
56750,-52.4157,-45.1868,34.6011,255,255,255
