Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,5.163,1.61,0,255,255,255
250,5.1645,1.6095,0.0115,255,255,255
500,5.1704,1.6077,0.0554,255,255,255
750,5.1804,1.6045,0.1312,255,255,255
1000,5.1947,1.6001,0.2383,255,255,255
1250,5.213,1.5944,0.3758,255,255,255
1500,5.2352,1.5874,0.543,255,255,255
1750,5.2613,1.5793,0.7389,255,255,255
2000,5.2911,1.5701,0.9629,255,255,255
2250,5.3245,1.5597,1.2142,255,255,255
2500,5.3615,1.5483,1.4918,255,255,255
2750,5.4018,1.5358,1.7951,255,255,255
3000,5.4455,1.5224,2.1232,255,255,255
3250,5.4924,1.5079,2.4754,255,255,255
3500,5.5424,1.4926,2.8508,255,255,255
3750,5.5954,1.4764,3.2486,255,255,255
4000,5.6513,1.4593,3.6681,255,255,255
4250,5.7099,1.4415,4.1085,255,255,255
4500,5.7713,1.4229,4.5688,255,255,255
4750,5.8352,1.4035,5.0485,255,255,255
5000,5.9016,1.3834,5.5466,255,255,255
5250,5.9704,1.3627,6.0623,255,255,255
5500,6.0414,1.3412,6.595,255,255,255
5750,6.1146,1.319,7.1437,255,255,255
6000,6.1897,1.2962,7.7078,255,255,255
6250,6.2669,1.2727,8.2863,255,255,255
6500,6.3458,1.2487,8.8786,255,255,255
6750,6.4265,1.2241,9.4838,255,255,255
7000,6.5088,1.199,10.1011,255,255,255
7250,6.5925,1.1733,10.7296,255,255,255
7500,6.6777,1.1473,11.3687,255,255,255
7750,6.7642,1.1208,12.0175,255,255,255
8000,6.8518,1.0939,12.6752,255,255,255
8250,6.9406,1.0666,13.3411,255,255,255
8500,7.0302,1.0391,14.0142,255,255,255
8750,7.1208,1.0113,14.6939,255,255,255
9000,7.2121,0.9832,15.3792,255,255,255
9250,7.3041,0.9549,16.0695,255,255,255
9500,7.3966,0.9264,16.7639,255,255,255
9750,7.4895,0.8978,17.4617,255,255,255
10000,7.5827,0.869,18.1619,255,255,255
10250,7.6762,0.8402,18.8639,255,255,255
10500,7.7698,0.8113,19.5668,255,255,255
10750,7.8634,0.7824,20.2698,255,255,255
11000,7.9569,0.7536,20.9721,255,255,255
11250,8.0502,0.7248,21.673,255,255,255
11500,8.1432,0.6961,22.3716,255,255,255
11750,8.2358,0.6675,23.0671,255,255,255
12000,8.3278,0.6391,23.7588,255,255,255
12250,8.4192,0.6109,24.4457,255,255,255
12500,8.5099,0.5829,25.1273,255,255,255
12750,8.5997,0.5552,25.8025,255,255,255
13000,8.6885,0.5278,26.4707,255,255,255
13250,8.7763,0.5007,27.131,255,255,255
13500,8.863,0.474,27.7827,255,255,255
13750,8.9483,0.4476,28.4249,255,255,255
14000,9.0323,0.4218,29.0568,255,255,255
14250,9.1148,0.3963,29.6777,255,255,255
14500,9.1957,0.3714,30.2867,255,255,255
14750,9.2749,0.347,30.8831,255,255,255
15000,9.3523,0.3232,31.4661,255,255,255
15250,9.4278,0.3,32.0349,255,255,255
15500,9.5013,0.2774,32.5888,255,255,255
15750,9.5727,0.2555,33.127,255,255,255
16000,9.642,0.2343,33.6486,255,255,255
16250,9.7089,0.2137,34.1529,255,255,255
16500,9.7735,0.194,34.6391,255,255,255
16750,9.8356,0.1749,35.1062,255,255,255
17000,9.895,0.1567,35.5536,255,255,255
