Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,4.274,10.049,0,255,255,255
250,4.2752,10.0461,0.0055,255,255,255
500,4.2796,10.0349,0.0263,255,255,255
750,4.2872,10.0155,0.0622,255,255,255
1000,4.298,9.9882,0.113,255,255,255
1250,4.3118,9.9532,0.1782,255,255,255
1500,4.3286,9.9105,0.2575,255,255,255
1750,4.3483,9.8606,0.3504,255,255,255
2000,4.3708,9.8034,0.4566,255,255,255
2250,4.3961,9.7394,0.5757,255,255,255
2500,4.424,9.6685,0.7074,255,255,255
2750,4.4545,9.5912,0.8512,255,255,255
3000,4.4875,9.5075,1.0068,255,255,255
3250,4.5229,9.4177,1.1739,255,255,255
3500,4.5606,9.3219,1.3519,255,255,255
3750,4.6006,9.2204,1.5406,255,255,255
4000,4.6428,9.1134,1.7395,255,255,255
4250,4.6871,9.0011,1.9484,255,255,255
4500,4.7334,8.8836,2.1668,255,255,255
4750,4.7816,8.7612,2.3943,255,255,255
5000,4.8317,8.6342,2.6305,255,255,255
5250,4.8835,8.5026,2.8752,255,255,255
5500,4.9371,8.3667,3.1278,255,255,255
5750,4.9923,8.2267,3.3881,255,255,255
6000,5.049,8.0828,3.6556,255,255,255
6250,5.1071,7.9352,3.93,255,255,255
6500,5.1666,7.7841,4.2108,255,255,255
6750,5.2275,7.6297,4.4978,255,255,255
7000,5.2895,7.4722,4.7906,255,255,255
7250,5.3527,7.3118,5.0887,255,255,255
7500,5.4169,7.1488,5.3917,255,255,255
7750,5.4821,6.9833,5.6994,255,255,255
8000,5.5482,6.8155,6.0113,255,255,255
8250,5.6151,6.6456,6.327,255,255,255
8500,5.6827,6.4739,6.6462,255,255,255
8750,5.751,6.3005,6.9685,255,255,255
9000,5.8198,6.1256,7.2935,255,255,255
9250,5.8892,5.9495,7.6209,255,255,255
9500,5.9589,5.7723,7.9502,255,255,255
9750,6.029,5.5942,8.2811,255,255,255
10000,6.0994,5.4155,8.6132,255,255,255
10250,6.1699,5.2364,8.9461,255,255,255
10500,6.2405,5.057,9.2795,255,255,255
10750,6.3111,4.8776,9.6129,255,255,255
11000,6.3816,4.6983,9.946,255,255,255
11250,6.452,4.5194,10.2784,255,255,255
11500,6.5222,4.3411,10.6098,255,255,255
11750,6.592,4.1635,10.9397,255,255,255
12000,6.6615,3.9869,11.2678,255,255,255
