Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,10.825,8.606,0,255,255,255
250,10.8259,8.6035,0.0084,255,255,255
500,10.8294,8.5939,0.0402,255,255,255
750,10.8354,8.5773,0.0952,255,255,255
1000,10.8439,8.5539,0.1729,255,255,255
1250,10.8548,8.5239,0.2727,255,255,255
1500,10.8681,8.4874,0.3939,255,255,255
1750,10.8836,8.4445,0.5361,255,255,255
2000,10.9013,8.3956,0.6985,255,255,255
2250,10.9212,8.3407,0.8807,255,255,255
2500,10.9431,8.28,1.0821,255,255,255
2750,10.9671,8.2137,1.302,255,255,255
3000,10.993,8.142,1.5399,255,255,255
3250,11.0208,8.065,1.7953,255,255,255
3500,11.0504,7.983,2.0674,255,255,255
3750,11.0817,7.896,2.3558,255,255,255
4000,11.1147,7.8043,2.6599,255,255,255
4250,11.1494,7.7081,2.979,255,255,255
4500,11.1855,7.6074,3.3127,255,255,255
4750,11.2232,7.5026,3.6602,255,255,255
5000,11.2623,7.3937,4.0211,255,255,255
5250,11.3028,7.2809,4.3948,255,255,255
5500,11.3446,7.1645,4.7807,255,255,255
5750,11.3876,7.0445,5.1783,255,255,255
6000,11.4319,6.9211,5.5869,255,255,255
6250,11.4774,6.7946,6.0061,255,255,255
6500,11.5239,6.6651,6.4352,255,255,255
6750,11.5714,6.5327,6.8737,255,255,255
7000,11.6199,6.3978,7.321,255,255,255
7250,11.6694,6.2603,7.7764,255,255,255
7500,11.7196,6.1205,8.2395,255,255,255
7750,11.7706,5.9786,8.7096,255,255,255
8000,11.8224,5.8348,9.1862,255,255,255
8250,11.8747,5.6891,9.6687,255,255,255
8500,11.9277,5.5419,10.1564,255,255,255
8750,11.9812,5.3933,10.6489,255,255,255
9000,12.0351,5.2434,11.1456,255,255,255
9250,12.0894,5.0924,11.6458,255,255,255
9500,12.1441,4.9406,12.1491,255,255,255
9750,12.199,4.788,12.6547,255,255,255
10000,12.2541,4.6348,13.1622,255,255,255
10250,12.3094,4.4813,13.671,255,255,255
10500,12.3647,4.3276,14.1805,255,255,255
10750,12.42,4.1739,14.69,255,255,255
11000,12.4753,4.0203,15.1991,255,255,255
11250,12.5305,3.867,15.7072,255,255,255
11500,12.5855,3.7143,16.2136,255,255,255
11750,12.6403,3.5622,16.7178,255,255,255
12000,12.6948,3.411,17.2192,255,255,255
12250,12.7489,3.2608,17.7173,255,255,255
12500,12.8026,3.1118,18.2114,255,255,255
12750,12.8557,2.9642,18.701,255,255,255
13000,12.9084,2.8182,19.1856,255,255,255
13250,12.9604,2.6739,19.6644,255,255,255
13500,13.0117,2.5314,20.137,255,255,255
13750,13.0623,2.3911,20.6028,255,255,255
14000,13.1121,2.253,21.0612,255,255,255
14250,13.161,2.1174,21.5116,255,255,255
14500,13.2089,1.9843,21.9534,255,255,255
14750,13.2559,1.854,22.3861,255,255,255
15000,13.3018,1.7267,22.809,255,255,255
15250,13.3466,1.6025,23.2217,255,255,255
15500,13.3902,1.4816,23.6235,255,255,255
15750,13.4325,1.3641,24.0138,255,255,255
16000,13.4736,1.2501,24.392,255,255,255
16250,13.5132,1.1399,24.7576,255,255,255
16500,13.5514,1.0336,25.1099,255,255,255
16750,13.5881,0.9314,25.4485,255,255,255
17000,13.6233,0.8335,25.7727,255,255,255
17250,13.6568,0.7401,26.0819,255,255,255
17500,13.6887,0.6514,26.3756,255,255,255
17750,13.7188,0.5676,26.6532,255,255,255
18000,13.7471,0.4888,26.9141,255,255,255
18250,13.7736,0.4152,27.1578,255,255,255
18500,13.7981,0.347,27.3837,255,255,255
18750,13.8207,0.2844,27.5912,255,255,255
19000,13.8412,0.2276,27.7797,255,255,255
19250,13.8596,0.1768,27.9486,255,255,255
19500,13.8758,0.1321,28.0974,255,255,255
19750,13.8899,0.0938,28.2255,255,255,255
20000,13.9022,0.0636,28.3306,255,255,255
20250,13.9135,0.0432,28.4107,255,255,255
20500,13.9226,0.0298,28.4686,255,255,255
