Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,2.831,3.498,0,255,255,255
250,2.8318,3.497,0.0125,255,255,255
500,2.835,3.4931,0.0602,255,255,255
750,2.8405,3.4863,0.1427,255,255,255
1000,2.8483,3.4768,0.2591,255,255,255
1250,2.8583,3.4646,0.4087,255,255,255
1500,2.8704,3.4497,0.5904,255,255,255
1750,2.8846,3.4323,0.8034,255,255,255
2000,2.9009,3.4124,1.047,255,255,255
2250,2.9191,3.39,1.3201,255,255,255
2500,2.9393,3.3654,1.622,255,255,255
2750,2.9613,3.3384,1.9517,255,255,255
3000,2.9851,3.3092,2.3085,255,255,255
3250,3.0107,3.2779,2.6914,255,255,255
3500,3.038,3.2446,3.0995,255,255,255
3750,3.0669,3.2092,3.5321,255,255,255
4000,3.0974,3.1719,3.9881,255,255,255
4250,3.1294,3.1328,4.4668,255,255,255
4500,3.1629,3.0918,4.9674,255,255,255
4750,3.1977,3.0492,5.4888,255,255,255
5000,3.234,3.0049,6.0303,255,255,255
5250,3.2715,2.9591,6.591,255,255,255
5500,3.3102,2.9118,7.17,255,255,255
5750,3.3501,2.863,7.7664,255,255,255
6000,3.3912,2.8129,8.3795,255,255,255
6250,3.4333,2.7615,9.0082,255,255,255
6500,3.4764,2.7089,9.6518,255,255,255
6750,3.5204,2.6551,10.3094,255,255,255
7000,3.5654,2.6003,10.9801,255,255,255
7250,3.6111,2.5445,11.663,255,255,255
7500,3.6577,2.4877,12.3574,255,255,255
7750,3.7049,2.4301,13.0623,255,255,255
8000,3.7528,2.3717,13.7769,255,255,255
8250,3.8014,2.3126,14.5004,255,255,255
8500,3.8504,2.2528,15.2318,255,255,255
8750,3.8999,2.1924,15.9702,255,255,255
9000,3.9499,2.1316,16.7149,255,255,255
9250,4.0002,2.0703,17.465,255,255,255
9500,4.0508,2.0086,18.2195,255,255,255
9750,4.1017,1.9466,18.9776,255,255,255
10000,4.1528,1.8844,19.7386,255,255,255
10250,4.204,1.8221,20.5014,255,255,255
10500,4.2552,1.7597,21.2652,255,255,255
10750,4.3065,1.6972,22.0291,255,255,255
11000,4.3577,1.6348,22.7924,255,255,255
11250,4.4088,1.5726,23.5541,255,255,255
11500,4.4598,1.5105,24.3133,255,255,255
11750,4.5105,1.4487,25.0692,255,255,255
12000,4.5609,1.3873,25.821,255,255,255
12250,4.611,1.3263,26.5677,255,255,255
12500,4.6607,1.2657,27.3084,255,255,255
12750,4.71,1.2057,28.0425,255,255,255
13000,4.7587,1.1464,28.7688,255,255,255
13250,4.8069,1.0877,29.4867,255,255,255
13500,4.8544,1.0298,30.1951,255,255,255
13750,4.9012,0.9727,30.8933,255,255,255
14000,4.9473,0.9165,31.5805,255,255,255
14250,4.9925,0.8613,32.2556,255,255,255
