Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-8.494,-10.493,0,255,255,255
250,-8.4954,-10.4899,0.01,255,255,255
500,-8.5008,-10.4782,0.0483,255,255,255
750,-8.5101,-10.458,0.1145,255,255,255
1000,-8.5232,-10.4295,0.2079,255,255,255
1250,-8.54,-10.3928,0.3279,255,255,255
1500,-8.5605,-10.3483,0.4737,255,255,255
1750,-8.5845,-10.296,0.6447,255,255,255
2000,-8.612,-10.2363,0.8401,255,255,255
2250,-8.6428,-10.1694,1.0592,255,255,255
2500,-8.6768,-10.0954,1.3014,255,255,255
2750,-8.7139,-10.0145,1.566,255,255,255
3000,-8.7541,-9.9271,1.8522,255,255,255
3250,-8.7973,-9.8332,2.1594,255,255,255
3500,-8.8433,-9.7332,2.4868,255,255,255
3750,-8.892,-9.6271,2.8338,255,255,255
4000,-8.9434,-9.5153,3.1997,255,255,255
4250,-8.9973,-9.3979,3.5837,255,255,255
4500,-9.0537,-9.2752,3.9852,255,255,255
4750,-9.1125,-9.1474,4.4035,255,255,255
5000,-9.1735,-9.0146,4.8378,255,255,255
5250,-9.2367,-8.8771,5.2875,255,255,255
5500,-9.3019,-8.7352,5.752,255,255,255
5750,-9.3691,-8.5889,6.2304,255,255,255
6000,-9.4382,-8.4386,6.722,255,255,255
6250,-9.509,-8.2844,7.2263,255,255,255
6500,-9.5815,-8.1266,7.7425,255,255,255
6750,-9.6556,-7.9654,8.2698,255,255,255
7000,-9.7312,-7.8009,8.8077,255,255,255
7250,-9.8081,-7.6335,9.3553,255,255,255
7500,-9.8863,-7.4632,9.9122,255,255,255
7750,-9.9658,-7.2904,10.4776,255,255,255
8000,-10.0463,-7.1151,11.0507,255,255,255
8250,-10.1278,-6.9378,11.631,255,255,255
8500,-10.2102,-6.7584,12.2176,255,255,255
8750,-10.2934,-6.5774,12.81,255,255,255
9000,-10.3773,-6.3948,13.4074,255,255,255
9250,-10.4619,-6.2109,14.0091,255,255,255
9500,-10.5469,-6.0259,14.6144,255,255,255
9750,-10.6323,-5.84,15.2227,255,255,255
10000,-10.7181,-5.6534,15.8331,255,255,255
10250,-10.804,-5.4664,16.4451,255,255,255
10500,-10.8901,-5.2792,17.0579,255,255,255
10750,-10.9762,-5.0919,17.6709,255,255,255
11000,-11.0622,-4.9047,18.2833,255,255,255
11250,-11.148,-4.718,18.8945,255,255,255
11500,-11.2336,-4.5318,19.5037,255,255,255
11750,-11.3188,-4.3465,20.1102,255,255,255
12000,-11.4035,-4.1622,20.7134,255,255,255
12250,-11.4876,-3.9791,21.3126,255,255,255
12500,-11.5711,-3.7975,21.907,255,255,255
12750,-11.6538,-3.6175,22.496,255,255,255
13000,-11.7357,-3.4395,23.0788,255,255,255
13250,-11.8166,-3.2634,23.6549,255,255,255
13500,-11.8964,-3.0897,24.2234,255,255,255
13750,-11.9751,-2.9185,24.7837,255,255,255
14000,-12.0525,-2.7501,25.335,255,255,255
14250,-12.1286,-2.5845,25.8768,255,255,255
14500,-12.2032,-2.4221,26.4082,255,255,255
14750,-12.2763,-2.2631,26.9287,255,255,255
15000,-12.3477,-2.1076,27.4374,255,255,255
15250,-12.4174,-1.9559,27.9337,255,255,255
15500,-12.4853,-1.8083,28.417,255,255,255
15750,-12.5512,-1.6648,28.8864,255,255,255
16000,-12.6151,-1.5257,29.3414,255,255,255
16250,-12.6768,-1.3913,29.7812,255,255,255
16500,-12.7364,-1.2617,30.2051,255,255,255
16750,-12.7936,-1.1372,30.6124,255,255,255
17000,-12.8483,-1.0179,31.0025,255,255,255
