Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,8.938,6.274,0,255,255,255
250,8.9395,6.2722,0.0092,255,255,255
500,8.945,6.2652,0.0443,255,255,255
750,8.9545,6.2531,0.105,255,255,255
1000,8.968,6.236,0.1907,255,255,255
1250,8.9854,6.2141,0.3007,255,255,255
1500,9.0065,6.1875,0.4344,255,255,255
1750,9.0312,6.1563,0.5911,255,255,255
2000,9.0595,6.1206,0.7702,255,255,255
2250,9.0913,6.0806,0.9711,255,255,255
2500,9.1264,6.0363,1.1931,255,255,255
2750,9.1647,5.988,1.4356,255,255,255
3000,9.2062,5.9357,1.6979,255,255,255
3250,9.2508,5.8796,1.9795,255,255,255
3500,9.2983,5.8198,2.2795,255,255,255
3750,9.3487,5.7564,2.5975,255,255,255
4000,9.4019,5.6896,2.9327,255,255,255
4250,9.4577,5.6194,3.2846,255,255,255
4500,9.5161,5.5461,3.6524,255,255,255
4750,9.577,5.4696,4.0356,255,255,255
5000,9.6402,5.3903,4.4335,255,255,255
5250,9.7058,5.3081,4.8455,255,255,255
5500,9.7735,5.2232,5.2708,255,255,255
5750,9.8431,5.1357,5.7091,255,255,255
6000,9.9147,5.0458,6.1596,255,255,255
6250,9.9881,4.9535,6.6217,255,255,255
6500,10.0632,4.8591,7.0947,255,255,255
6750,10.1398,4.7626,7.5781,255,255,255
7000,10.218,4.6641,8.0711,255,255,255
7250,10.2976,4.5638,8.5732,255,255,255
7500,10.3785,4.4618,9.0837,255,255,255
7750,10.4606,4.3583,9.602,255,255,255
8000,10.5438,4.2534,10.1274,255,255,255
8250,10.628,4.1471,10.6594,255,255,255
8500,10.7131,4.0397,11.1971,255,255,255
8750,10.7991,3.9313,11.7401,255,255,255
9000,10.8857,3.8219,12.2877,255,255,255
9250,10.973,3.7117,12.8392,255,255,255
9500,11.0608,3.6009,13.3941,255,255,255
9750,11.149,3.4896,13.9516,255,255,255
10000,11.2375,3.3779,14.5111,255,255,255
10250,11.3262,3.2659,15.0721,255,255,255
10500,11.4151,3.1538,15.6338,255,255,255
10750,11.504,3.0417,16.1957,255,255,255
11000,11.5928,2.9297,16.757,255,255,255
11250,11.6814,2.8179,17.3172,255,255,255
11500,11.7698,2.7065,17.8756,255,255,255
