Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-3.276,0.722,0,255,255,255
250,-3.2774,0.7218,0.0055,255,255,255
500,-3.283,0.721,0.0263,255,255,255
750,-3.2925,0.7196,0.0622,255,255,255
1000,-3.306,0.7176,0.113,255,255,255
1250,-3.3232,0.7151,0.1782,255,255,255
1500,-3.3443,0.7121,0.2575,255,255,255
1750,-3.3689,0.7085,0.3504,255,255,255
2000,-3.3971,0.7044,0.4566,255,255,255
2250,-3.4286,0.6998,0.5757,255,255,255
2500,-3.4636,0.6947,0.7074,255,255,255
2750,-3.5017,0.6892,0.8512,255,255,255
3000,-3.543,0.6832,1.0068,255,255,255
3250,-3.5872,0.6767,1.1739,255,255,255
3500,-3.6344,0.6698,1.3519,255,255,255
3750,-3.6845,0.6626,1.5406,255,255,255
4000,-3.7372,0.6549,1.7395,255,255,255
4250,-3.7926,0.6468,1.9484,255,255,255
4500,-3.8505,0.6384,2.1668,255,255,255
4750,-3.9108,0.6296,2.3943,255,255,255
5000,-3.9735,0.6205,2.6305,255,255,255
5250,-4.0384,0.611,2.8752,255,255,255
5500,-4.1053,0.6013,3.1278,255,255,255
5750,-4.1744,0.5912,3.3881,255,255,255
6000,-4.2453,0.5809,3.6556,255,255,255
6250,-4.3181,0.5703,3.93,255,255,255
6500,-4.3926,0.5595,4.2108,255,255,255
6750,-4.4687,0.5484,4.4978,255,255,255
7000,-4.5463,0.5371,4.7906,255,255,255
7250,-4.6253,0.5256,5.0887,255,255,255
7500,-4.7057,0.5139,5.3917,255,255,255
7750,-4.7873,0.502,5.6994,255,255,255
8000,-4.87,0.49,6.0113,255,255,255
8250,-4.9538,0.4778,6.327,255,255,255
8500,-5.0384,0.4654,6.6462,255,255,255
8750,-5.1239,0.453,6.9685,255,255,255
9000,-5.2101,0.4404,7.2935,255,255,255
9250,-5.2969,0.4278,7.6209,255,255,255
9500,-5.3843,0.4151,7.9502,255,255,255
9750,-5.472,0.4023,8.2811,255,255,255
10000,-5.5601,0.3895,8.6132,255,255,255
10250,-5.6484,0.3766,8.9461,255,255,255
10500,-5.7368,0.3637,9.2795,255,255,255
10750,-5.8253,0.3508,9.6129,255,255,255
11000,-5.9137,0.338,9.946,255,255,255
11250,-6.0018,0.3251,10.2784,255,255,255
11500,-6.0897,0.3123,10.6098,255,255,255
11750,-6.1773,0.2996,10.9397,255,255,255
12000,-6.2643,0.2869,11.2678,255,255,255
12250,-6.3508,0.2743,11.5937,255,255,255
