Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,6.606,8.161,0,255,255,255
250,6.6076,8.1586,0.0108,255,255,255
500,6.6138,8.1496,0.052,255,255,255
750,6.6245,8.1339,0.1233,255,255,255
1000,6.6396,8.1117,0.224,255,255,255
1250,6.659,8.0833,0.3532,255,255,255
1500,6.6825,8.0487,0.5103,255,255,255
1750,6.7101,8.0082,0.6945,255,255,255
2000,6.7416,7.9618,0.905,255,255,255
2250,6.777,7.9098,1.1411,255,255,255
2500,6.816,7.8523,1.402,255,255,255
2750,6.8586,7.7895,1.6871,255,255,255
3000,6.9047,7.7215,1.9955,255,255,255
3250,6.9541,7.6486,2.3265,255,255,255
3500,7.0067,7.5708,2.6793,255,255,255
3750,7.0624,7.4883,3.0532,255,255,255
4000,7.1212,7.4013,3.4475,255,255,255
4250,7.1828,7.3099,3.8614,255,255,255
4500,7.2472,7.2144,4.2942,255,255,255
4750,7.3142,7.1149,4.745,255,255,255
5000,7.3837,7.0115,5.2132,255,255,255
5250,7.4557,6.9043,5.698,255,255,255
5500,7.53,6.7937,6.1986,255,255,255
5750,7.6066,6.6798,6.7144,255,255,255
6000,7.6854,6.5627,7.2445,255,255,255
6250,7.7663,6.4427,7.7883,255,255,255
6500,7.8491,6.3198,8.3449,255,255,255
6750,7.9339,6.1943,8.9136,255,255,255
7000,8.0203,6.0662,9.4937,255,255,255
7250,8.1084,5.9359,10.0844,255,255,255
7500,8.198,5.8034,10.6849,255,255,255
7750,8.289,5.6689,11.2946,255,255,255
8000,8.3812,5.5326,11.9127,255,255,255
8250,8.4747,5.3946,12.5384,255,255,255
8500,8.5691,5.2551,13.1709,255,255,255
8750,8.6645,5.1143,13.8096,255,255,255
9000,8.7608,4.9723,14.4536,255,255,255
9250,8.8577,4.8293,15.1023,255,255,255
9500,8.9552,4.6854,15.7548,255,255,255
9750,9.0532,4.5409,16.4105,255,255,255
10000,9.1516,4.3958,17.0685,255,255,255
10250,9.2502,4.2504,17.7282,255,255,255
10500,9.3489,4.1047,18.3887,255,255,255
10750,9.4476,3.9591,19.0494,255,255,255
11000,9.5463,3.8136,19.7094,255,255,255
11250,9.6447,3.6684,20.3681,255,255,255
11500,9.7428,3.5236,21.0247,255,255,255
11750,9.8404,3.3795,21.6783,255,255,255
12000,9.9375,3.2361,22.3284,255,255,255
12250,10.0339,3.0938,22.9741,255,255,255
12500,10.1295,2.9525,23.6147,255,255,255
12750,10.2242,2.8125,24.2494,255,255,255
13000,10.3178,2.674,24.8775,255,255,255
13250,10.4104,2.5371,25.4982,255,255,255
13500,10.5016,2.4019,26.1108,255,255,255
13750,10.5916,2.2687,26.7146,255,255,255
14000,10.68,2.1376,27.3087,255,255,255
14250,10.7668,2.0088,27.8925,255,255,255
14500,10.8519,1.8824,28.4652,255,255,255
14750,10.9352,1.7585,29.026,255,255,255
15000,11.0166,1.6375,29.5742,255,255,255
15250,11.0961,1.5194,30.109,255,255,255
15500,11.1736,1.4045,30.6297,255,255,255
15750,11.2489,1.2929,31.1355,255,255,255
16000,11.322,1.1848,31.6257,255,255,255
16250,11.3927,1.0803,32.0995,255,255,255
16500,11.4608,0.9796,32.5563,255,255,255
16750,11.5264,0.8829,32.9951,255,255,255
17000,11.5892,0.7903,33.4154,255,255,255
17250,11.6492,0.7019,33.8163,255,255,255
17500,11.7061,0.618,34.1971,255,255,255
17750,11.76,0.5387,34.5571,255,255,255
18000,11.8106,0.4642,34.8955,255,255,255
18250,11.8578,0.3946,35.2116,255,255,255
18500,11.9016,0.33,35.5046,255,255,255
18750,11.9418,0.2707,35.7738,255,255,255
19000,11.9783,0.2169,36.0184,255,255,255
19250,12.0109,0.1686,36.2377,255,255,255
19500,12.0398,0.1278,36.4279,255,255,255
19750,12.065,0.097,36.5848,255,255,255
20000,12.0863,0.0743,36.7111,255,255,255
20250,12.1036,0.0577,36.8099,255,255,255
20500,12.1166,0.0452,36.8841,255,255,255
20750,12.1251,0.035,36.9367,255,255,255
21000,12.1288,0.025,36.9707,255,255,255
21250,12.1275,0.0133,36.989,255,255,255
21500,12.1211,-0.002,36.9945,255,255,255
21750,12.1091,-0.0229,36.9903,255,255,255
22000,12.0915,-0.0513,36.9793,255,255,255
